hotspotID,dup
L4221645,1
L3309529,2
L3357184,2
L3309549,2
L3311347,3
L10739392,4
L13550842,5
L12879327,6
L3805772,7
L7992629,8
L4008340,9
L8495335,10
L10757548,11
L3353046,12
L3353046,13
L6940540,14
L13501579,15
L6952030,16
L13502011,17
L13502074,18
L13502145,19
L13502257,20
L3916511,21
L10807518,22
L4248294,23
L8667459,24
L3349006,25
L3868204,26
L13491777,27
L6858804,28
L5652537,29
L4969030,29
L4240279,30
L3086715,31
L13550475,32
L9134666,33
L2915491,34
L5492382,34
L4332136,34
L4682039,34
L5465643,34
L9683416,34
L8019059,35
L1838309,36
L13550298,37
L10890032,38
L13550406,39
L3027189,40
L13550355,41
L6765347,42
L3722945,43
L4240333,44
L4268060,45
L5471809,46
L2777415,47
L3557203,48
L2348198,49
L4289532,50
L1968610,51
L1968610,52
L6574723,53
L3916614,54
L4100590,55
L2525709,56
L1234567,57
L13547127,58
L13550541,59
L13548726,60
L13398119,61
L3785915,62
L4944548,63
L5227011,64
L9961066,65
L8607458,66
L13312485,67
L5447346,68
L10809935,69
L10809977,70
L8274292,71
L9174167,72
L13555563,73
L3313249,74
L10000967,75
L790363,76
L2345678,77
L8373004,78
L5455373,79
L4298951,80
L3924908,81
L4969030,82
L13456361,83
L3955124,84
L5083268,85
L7029847,86
L3955124,87
L13568863,88
L13527883,89
L2464155,90
L13550658,91
L13569651,92
L13550821,93
L6425561,94
L10257663,95
L13546767,96
L10575889,97
L5561282,98
L5435997,99
L5424106,100
L10810005,101
L10810005,102
L6368468,103
L10139288,104
L3350872,105
L6924816,106
L6450655,107
L8644324,108
L11027637,109
L5441720,110
L6200742,111
L4092088,112
L13550885,113
L3349006,114
L4258416,115
L5652537,116
L4969030,116
L10810204,117
L2609314,118
L4327180,118
L5496628,118
L4258416,119
L13550238,120
L5652537,121
L4969030,121
L10295713,122
L2945016,122
L3086715,122
L8166754,122
L8173986,122
L6765773,123
L1089059,124
L2662796,125
L13463875,126
L4311071,127
L6296551,128
L4277624,129
L10746725,130
L3120145,131
L5524258,132
L6209239,133
L3357179,134
L3976187,135
L6924547,136
L10733849,137
L2502929,138
L10134714,139
L7436463,140
L4239986,141
L1968610,142
L2348198,143
L8154387,144
L10019528,145
L13527720,146
L6777428,147
L4277786,148
L6798353,149
L1664748,150
L13550780,151
L5271303,152
L3353403,153
L5524321,154
L6999299,155
L13546481,156
L8615272,157
L10736472,158
L6877499,159
L6877535,160
L3353196,161
L3353331,162
L3353379,163
L6373629,164
L5524289,165
L5524194,166
L8614905,167
L10736495,168
L5944296,169
L13548911,170
L10756024,171
L1190942,172
L1664748,173
L3355212,174
L13556762,175
L7003246,176
L8608048,177
L3353296,178
L10736536,179
L3353388,180
L3353436,181
L8615195,182
L3440072,183
L5523940,184
L13556664,185
L10810236,186
L10736342,187
L10736270,188
L6877466,189
L10736518,190
L6877601,191
L9605889,192
L4173881,193
L9605889,194
L8614882,195
L2648620,196
L8615195,197
L3357124,198
L10736287,199
L922040,200
L4969030,201
L13556561,202
L13556548,203
L13556862,204
L13284384,205
L5242954,206
L9736317,207
L4919558,208
L10696887,209
L13500915,210
L2575534,211
L13567228,212
L13567197,213
L13567665,214
L9605889,215
L13569361,216
L13569490,217
L6877408,218
L4314085,219
L6877439,220
L3260122,221
L5444050,222
L13581953,223
L13586559,224
L3373396,225
L13605565,226
L10810241,227
L3350870,228
L13689588,229
L6720699,230
L10163878,231
L13539641,232
