Campus Hotspot Location ID,Campus Name
L6864373,Acharya Narendra Dev College (ANDC)
L17742898,Adamas University
L16834518,Ahmedabad Cantonment
L2618408,Al Shifa College
L4050209,Aligarh Muslim University (AMU)--General Area
L10809977,Ambedkar University Delhi--Karampura Campus
L3313249,Ambedkar University Delhi--Kashmere Gate Campus
L10809935,Ambedkar University Delhi--Lodhi Road Campus
L5447346,Ambedkar University Delhi--Dheerpur Campus
L5421655,American College 
L4171285,"Amity University Campus, Noida"
L4268060,Anandavanam Eco Farms
L17770335,Andaman College
L10807518,Ashoka Trust for Research in Ecology and the Environment (ATREE)
L8645166,Ashoka University
L10139288,Assam Don Bosco University
L10575552,Assam University (Wetland and Residential)
L3350872,"Assam University, Silchar"
L17706314,"Avani Institute of Design, Thamarassery"
L16235180,Azim Premji University
L10739392,B. Borooah college
L4919558,"Bagh Villas Jungle Camp, Kanha"
L3955124,Banaras Hindu University (BHU)
L10801090,"Banka High School, Bilaspur"
L17760607,Barkatullah University
L17706295,Beri Gopalpur Adarsha Vidyalaya (H.S)
L2930709,Bhandup Pumping Station (BPS)
L17760616,"Bharat Heavy Electricals Limited (BHEL), Jhansi"
L4278014,"Bhavan's College, Andheri"
L5492382,"Bhusawal Thermal Power Station, BTPS--Deepnagar"
L17761733,"BSI, Garden, Nayashahar"
L5545261,CARI-ICAR Campus
L6926335,"Catholicate College, Pathanamthitta"
L17769985,"Central Forest Nursery, Diglipur"
L5423962,Central University of Odisha (CUO)--Sunabeda Campus
L2529620,Chatham Jetty
L10810175,"Chhattisgarh Science Centre, Raipur"
L10146708,Chidyatapu Biological Park
L3349006,Christ University-Main Campus
L6952712,"Christian College, Chengannur"
L17742030,CMS College Kottayam (Autonomous)
L17782431,"Cochin University, Kalamassery"
L17760606,"College Of Agriculture, Lembucherra"
L17783984,"College of Applied Science, Muttom"
L13191235,"College of Forestry, Ponnampet"
L8019059,"College of Forestry--Nursery, Dapoli"
L10890032,"College of Social Work, Chopda"
L2662796,"College of Veterinary and Animal Sciences, Mannuthy"
L4240279,"College of Veterinary and Animal Sciences, Pookode"
L4221645,Cotton University
L17770296,"CPWD quarters, Ranchi Basti, Dairy Farm"
L12879327,"CSPDCL Rest House Campus, Gudhiyari"
L17742063,D.G. Ruparel College
L13567197,Dhanora Farms
L3625456,Dhirubhai Ambani Institute of Information and Communication Technology
L17770151,"Doyang Beat Office, Wokha."
L17762077,Dr. B.R. Ambedkar institute of technology
L5441019,Dr. Babasaheb Ambedkar Marathwada University
L17706306,Dr. MCR HRD Institute of Telangana
L2648620,Durgapur Government College
L4100590,Empress Botanical Garden
L17688718,Fatima Mata National College (FMNC)
L3148022,Fergusson College Campus
L10000967,Flame of the Forest Safari Lodge
L4311071,"Forest Campus, Indore"
L13556762,Forest College and Research Institute (FCRI)
L10808793,"Forest Guest House, Barahi"
L17770093,"Forest Office Complex, Dimapur"
L17770142,"Forest Office Complex, Wokha"
L1968610,"Forest Research Institute (FRI), New Forest Campus"
L11328604,Forsyth Lodge
L17783493,G.V.P COLLEGE OF ENGINEERING FOR WOMEN
L2525709,"GKVK Campus, Bangalore"
L10180273,"Gandhi Park, Port Blair"
L17862020,Ganpat Parsekar College of Education
L3309529,Gauhati University Campus
L17834977,GNA Science and Art College Barshitakli
L3355212,"Goa Institute of Management Campus (GIM), Sanquelim"
L17834919,"Gol Bazar, Jabalpur"
L17688856,"Goverment Degree College Marh , Jammu"
L17753200,"Government Brennen College, Thalassery"
L17688734,Government College of Engineering (GCOEA)
L17760520,"Government Higher Secondary School, Balanthode"
L17769988,"Government Middle School, Pungro"
L17782568,Government Polytechnic Amravati
L17782471,"Government Polytechnic College, Arvi"
L5455137,"Government Vidarbha Institute of Science & Humanities, Amravati"
L17770418,Govt Vidarbha Institute Of Science and Humanities
L5524258,"Govt. Girls Primary School, Bahour"
L17771818,"Govt. High School, Kanwla"
L17780483,"Govt. Primary & Middle School, Kanwla"
L13556862,"Govt. Primary School, Abishekapakkam"
L8615195,"Govt. Primary School, Boomianpet"
L3353403,"Govt. Primary School, Indira Nagar"
L7003246,"Govt. Primary School, Sithangudi"
L17835031,"Govt. R.D.P.G. College, Mandla"
L10810236,"Govt.College, Kasaragod"
L6950729,Gujarat Institute of Desert Ecology
L8607250,"Guru Ghasidas University Campus, Bilaspur"
L8000238,Guru Ghasidas Vishwavidyalaya
L6450655,"Guru Gobind Singh (GGS) Indraprastha University, Dwarka Campus, New Delhi"
L13555563,"Gurucharan College, Silchar"
L17802164,Haddo Mini Zoo
L10033450,"Hansraj College, Delhi"
L11651910,Harish-Chandra Research Institute
L17743449,"Himalayan Progressive School, Rudrapur"
L5656034,Himayat Bagh
L6860620,"Hindu College, Delhi"
L17742110,Hirapur MCT Institution
L5944296,"Holy Family School, Kumbla"
L10746725,Homi Bhabha Centre for Science Education (HBCSE)
L17751481,IARI Pusa Campus
L17762119,ICAR KVK Krishi Vigyan Kendra
L2609314,IISc Bangalore
L3659052,IISER Kolkata
L5435997,IISER Tirupati--Mangalam Campus
L5424106,IISER Tirupati--Yerpadu Campus
L5879406,"IISER, Thiruvananthapuram"
L17743375,IIT Bhilai
L2747804,IIT Delhi
L3311347,IIT Guwahati
L2575534,IIT Madras
L16149030,Indian Institute for Human Settlements (IIHS) Kengeri campus
L3357108,"Indian Institute Of Management (IIM), Indore"
L3921880,"Indian Institute of Management, Lucknow"
L3930263,Indian Institute of Petroleum- Dehradun (CSIR-IIP)
L4277786,"Indian Institute of Science Education and Research (IISER), Pune"
L1190942,"Indian Institute of Technology (IIT), Bombay"
L3231385,"Indira Gandhi National Open University, (IGNOU)"
L13567228,Indore Tennis Club
L10810241,Indraprastha College for Women
L3882003,Institute of Forest Genetics and Tree Breeding (IFGTB)
L5435909,"Integral University, Lucknow"
L13527720,IRDE Residential Campus
L5424547,Jawaharlal Nehru Rajkeeya Mahavidyalaya
L2620642,Jawaharlal Nehru University (JNU) Campus
L10233563,Jay AMBE Industries
