"COMMON.NAME","region","freq"
"Asian Pied Starling","Barak Valley Division",0.789473684210526
"Black Drongo","Barak Valley Division",0.736842105263158
"Common Myna","Barak Valley Division",0.736842105263158
"Spotted Dove","Barak Valley Division",0.736842105263158
"Oriental Magpie-Robin","Barak Valley Division",0.684210526315789
"Spotted Dove","Lower Assam Division",0.646512746512746
"Common Myna","Lower Assam Division",0.493446368446368
"Red-vented Bulbul","Lower Assam Division",0.382599807599808
"Oriental Magpie-Robin","Lower Assam Division",0.349771524771525
"Black Drongo","Lower Assam Division",0.325986050986051
"Common Myna","North Assam Division",0.713727535301669
"Spotted Dove","North Assam Division",0.663117779204108
"Red-vented Bulbul","North Assam Division",0.626026957637997
"Black Drongo","North Assam Division",0.524478498074454
"Cattle Egret","North Assam Division",0.510590500641849
"Spotted Dove","Upper Assam Division",0.8375
"White Wagtail","Upper Assam Division",0.704166666666667
"Common Myna","Upper Assam Division",0.6125
"Red-vented Bulbul","Upper Assam Division",0.6
"Cattle Egret","Upper Assam Division",0.595833333333333
