"DISTRICT","daym","lists","birders"
"Baksa",16,1,1
"Baksa",17,3,1
"Baksa",18,8,2
"Barpeta",15,4,1
"Barpeta",16,8,2
"Barpeta",17,13,2
"Barpeta",18,5,1
"Biswanath",15,3,1
"Biswanath",16,4,2
"Biswanath",18,1,1
"Bongaigaon",16,1,1
"Bongaigaon",17,1,1
"Cachar",15,1,1
"Cachar",16,4,1
"Cachar",17,7,3
"Cachar",18,7,4
"Chirang",15,3,2
"Chirang",16,3,2
"Chirang",17,7,4
"Chirang",18,1,1
"Darrang",16,2,1
"Darrang",17,4,2
"Dhemaji",17,4,2
"Dhemaji",18,6,1
"Dhubri",15,1,1
"Dhubri",16,2,2
"Dhubri",17,1,1
"Dibrugarh",16,1,1
"Dibrugarh",17,1,1
"Dibrugarh",18,3,2
"Dima Hasao",18,1,1
"Goalpara",15,2,2
"Goalpara",16,2,2
"Goalpara",17,4,3
"Goalpara",18,4,2
"Golaghat",15,4,3
"Golaghat",16,18,4
"Golaghat",17,11,3
"Golaghat",18,9,4
"Jorhat",16,1,1
"Kamrup",15,1,1
"Kamrup",16,2,2
"Kamrup",17,1,1
"Kamrup",18,26,3
"Kamrup Metropolitan",15,8,4
"Kamrup Metropolitan",16,3,3
"Kamrup Metropolitan",17,9,2
"Kamrup Metropolitan",18,4,1
"Karimganj",15,1,1
"Karimganj",16,1,1
"Karimganj",17,1,1
"Karimganj",18,1,1
"Kokrajhar",15,5,3
"Kokrajhar",16,7,4
"Kokrajhar",17,2,1
"Kokrajhar",18,5,5
"Lakhimpur",15,18,4
"Lakhimpur",16,17,4
"Lakhimpur",17,8,2
"Lakhimpur",18,5,3
"Majuli",15,1,1
"Majuli",16,1,1
"Morigaon",18,1,1
"Nagaon",15,2,1
"Nagaon",16,2,2
"Nagaon",17,1,1
"Nagaon",18,1,1
"Nalbari",16,2,1
"Sonitpur",15,5,3
"Sonitpur",16,6,4
"Sonitpur",17,8,4
"Sonitpur",18,2,2
"South Salmara Mancachar",16,1,1
"South Salmara Mancachar",17,1,1
"South Salmara Mancachar",18,1,1
"Tinsukia",17,5,4
"Tinsukia",18,5,3
"Udalguri",16,1,1
"Udalguri",17,3,2
"Udalguri",18,1,1
"West Karbi Anglong",18,1,1
