"COMMON.NAME","SCIENTIFIC.NAME"
"Ashy Drongo","Dicrurus leucophaeus"
"Asian Openbill","Anastomus oscitans"
"Asian Pied Starling","Gracupica contra"
"Asian Palm-Swift","Cypsiurus balasiensis"
"Barn Swallow","Hirundo rustica"
"Black-rumped Flameback","Dinopium benghalense"
"Black Drongo","Dicrurus macrocercus"
"Black Kite","Milvus migrans"
"Black-hooded Oriole","Oriolus xanthornus"
"Blue-throated Barbet","Psilopogon asiaticus"
"Cattle Egret","Bubulcus ibis"
"Chestnut-tailed Starling","Sturnia malabarica"
"Common Myna","Acridotheres tristis"
"Dusky Warbler","Phylloscopus fuscatus"
"Crimson Sunbird","Aethopyga siparaja"
"Green Bee-eater","Merops orientalis"
"Great Egret","Ardea alba"
"Cinereous Tit","Parus cinereus"
"Eurasian Hoopoe","Upupa epops"
"House Crow","Corvus splendens"
"House Sparrow","Passer domesticus"
"Indian Pond-Heron","Ardeola grayii"
"Intermediate Egret","Ardea intermedia"
"Jungle Babbler","Argya striata"
"Jungle Myna","Acridotheres fuscus"
"Lesser Adjutant","Leptoptilos javanicus"
"Lesser Whistling-Duck","Dendrocygna javanica"
"Little Cormorant","Microcarbo niger"
"Oriental Magpie-Robin","Copsychus saularis"
"Scaly-breasted Munia","Lonchura punctulata"
"Paddyfield Pipit","Anthus rufulus"
"Purple Sunbird","Cinnyris asiaticus"
"Red-vented Bulbul","Pycnonotus cafer"
"Red-wattled Lapwing","Vanellus indicus"
"Rose-ringed Parakeet","Psittacula krameri"
"Rufous Treepie","Dendrocitta vagabunda"
"Spotted Dove","Streptopelia chinensis"
"Stork-billed Kingfisher","Pelargopsis capensis"
"White-breasted Waterhen","Amaurornis phoenicurus"
"White Wagtail","Motacilla alba"
"White-throated Kingfisher","Halcyon smyrnensis"
"Yellow-footed Green-Pigeon","Treron phoenicopterus"
"Ashy Woodswallow","Artamus fuscus"
"Asian Koel","Eudynamys scolopaceus"
"Black-backed Forktail","Enicurus immaculatus"
"Common Kingfisher","Alcedo atthis"
"Common Woodshrike","Tephrodornis pondicerianus"
"Common Hill Myna","Gracula religiosa"
"Large-billed Crow","Corvus macrorhynchos"
"Little Egret","Egretta garzetta"
"Plain Flowerpecker","Dicaeum minullum"
"Common Hawk-Cuckoo","Hierococcyx varius"
"Common Tailorbird","Orthotomus sutorius"
"Indochinese Roller","Coracias affinis"
"Long-tailed Shrike","Lanius schach"
"Siberian Stonechat","Saxicola maurus"
"Asian Barred Owlet","Glaucidium cuculoides"
"Black-crowned Night-Heron","Nycticorax nycticorax"
"Blue-eared Kingfisher","Alcedo meninting"
"Brown Shrike","Lanius cristatus"
