"COMMON.NAME","region","freq"
"Asian Openbill","Central Assam Division",0.727272727272727
"Intermediate Egret","Central Assam Division",0.727272727272727
"Barn Swallow","Central Assam Division",0.636363636363636
"Chestnut-tailed Starling","Central Assam Division",0.636363636363636
"Black Drongo","Central Assam Division",0.545454545454545
"Red-vented Bulbul","Lower Assam Division",0.631965558595993
"Common Myna","Lower Assam Division",0.608915239350022
"Spotted Dove","Lower Assam Division",0.569959629742238
"Black Drongo","Lower Assam Division",0.552420104050539
"Jungle Myna","Lower Assam Division",0.541835579879058
"Common Myna","North Assam Division",0.618166278166278
"Spotted Dove","North Assam Division",0.591247086247086
"Black Drongo","North Assam Division",0.507148407148407
"Red-vented Bulbul","North Assam Division",0.472579642579643
"Oriental Magpie-Robin","North Assam Division",0.415932400932401
"Cattle Egret","Upper Assam Division",0.645833333333333
"Common Myna","Upper Assam Division",0.583333333333333
"Spotted Dove","Upper Assam Division",0.583333333333333
"Indian Pond-Heron","Upper Assam Division",0.520833333333333
"Jungle Myna","Upper Assam Division",0.5
