"DISTRICT","daym","lists","birders"
"Baksa",14,5,5
"Baksa",15,4,4
"Baksa",16,10,7
"Barpeta",14,20,6
"Barpeta",15,9,7
"Barpeta",16,7,3
"Barpeta",17,4,4
"Biswanath",14,13,5
"Biswanath",15,6,3
"Biswanath",16,7,2
"Biswanath",17,2,2
"Bongaigaon",14,5,3
"Bongaigaon",15,9,4
"Bongaigaon",16,8,4
"Bongaigaon",17,9,4
"Cachar",14,18,12
"Cachar",15,14,10
"Cachar",16,10,6
"Cachar",17,13,8
"Charaideo",14,1,1
"Charaideo",15,2,2
"Chirang",14,4,2
"Chirang",15,1,1
"Chirang",16,6,4
"Chirang",17,10,2
"Darrang",14,3,2
"Darrang",15,5,3
"Darrang",16,8,6
"Darrang",17,1,1
"Dhemaji",15,2,2
"Dhemaji",17,1,1
"Dhubri",14,21,7
"Dhubri",15,27,7
"Dhubri",16,19,4
"Dhubri",17,18,2
"Dibrugarh",14,4,2
"Dibrugarh",15,1,1
"Dibrugarh",16,3,1
"Dima Hasao",14,1,1
"Dima Hasao",15,3,2
"Dima Hasao",16,6,2
"Dima Hasao",17,1,1
"Goalpara",14,1,1
"Goalpara",15,4,2
"Goalpara",16,1,1
"Goalpara",17,1,1
"Golaghat",14,9,4
"Golaghat",15,4,2
"Golaghat",16,5,3
"Golaghat",17,11,3
"Hailakandi",14,1,1
"Hailakandi",15,5,2
"Hailakandi",16,1,1
"Jorhat",14,6,4
"Jorhat",15,10,3
"Jorhat",16,3,1
"Jorhat",17,2,2
"Kamrup",14,24,9
"Kamrup",15,16,10
"Kamrup",16,9,4
"Kamrup",17,10,6
"Kamrup Metropolitan",14,66,25
"Kamrup Metropolitan",15,52,20
"Kamrup Metropolitan",16,46,29
"Kamrup Metropolitan",17,32,25
"Karbi Anglong",14,6,2
"Karbi Anglong",15,7,3
"Karbi Anglong",16,3,2
"Karbi Anglong",17,1,1
"Karimganj",14,5,1
"Karimganj",16,3,1
"Karimganj",17,1,1
"Kokrajhar",14,8,6
"Kokrajhar",15,8,5
"Kokrajhar",16,5,4
"Kokrajhar",17,5,3
"Lakhimpur",14,9,5
"Lakhimpur",15,4,3
"Lakhimpur",16,1,1
"Lakhimpur",17,2,1
"Majuli",14,5,2
"Majuli",15,4,2
"Majuli",16,6,2
"Majuli",17,6,1
"Morigaon",14,5,3
"Morigaon",15,4,4
"Morigaon",16,4,3
"Morigaon",17,2,2
"Nagaon",14,8,4
"Nagaon",15,10,7
"Nagaon",16,3,3
"Nagaon",17,3,3
"Nalbari",14,11,10
"Nalbari",15,11,10
"Nalbari",16,2,2
"Nalbari",17,9,7
"Sivasagar",14,5,3
"Sivasagar",15,2,2
"Sivasagar",16,2,2
"Sivasagar",17,12,4
"Sonitpur",14,18,9
"Sonitpur",15,23,14
"Sonitpur",16,13,11
"Sonitpur",17,12,8
"South Salmara Mancachar",14,1,1
"South Salmara Mancachar",15,2,1
"South Salmara Mancachar",16,1,1
"South Salmara Mancachar",17,7,1
"Tinsukia",14,12,5
"Tinsukia",15,5,3
"Tinsukia",16,5,4
"Tinsukia",17,2,2
"Udalguri",14,1,1
"Udalguri",15,2,2
"Udalguri",17,2,2
