"COMMON.NAME","region","freq"
"Common Myna","Barak Valley Division",0.682471264367816
"Spotted Dove","Barak Valley Division",0.665229885057471
"Red-vented Bulbul","Barak Valley Division",0.647988505747126
"Blue-throated Barbet","Barak Valley Division",0.619252873563218
"Common Tailorbird","Barak Valley Division",0.609195402298851
"Common Myna","Lower Assam Division",0.728611265762969
"Spotted Dove","Lower Assam Division",0.640014156157456
"Asian Koel","Lower Assam Division",0.578043585783524
"Red-vented Bulbul","Lower Assam Division",0.564619945424899
"Asian Pied Starling","Lower Assam Division",0.49122916836318
"Common Myna","North Assam Division",0.638888888888889
"Black Drongo","North Assam Division",0.527777777777778
"Spotted Dove","North Assam Division",0.527777777777778
"Red-vented Bulbul","North Assam Division",0.472222222222222
"Cattle Egret","North Assam Division",0.416666666666667
"Spotted Dove","Upper Assam Division",0.825
"Common Myna","Upper Assam Division",0.75
"Red-vented Bulbul","Upper Assam Division",0.6875
"Oriental Magpie-Robin","Upper Assam Division",0.6625
"Red-wattled Lapwing","Upper Assam Division",0.5625
