"DISTRICT","daym","lists","birders"
"Baksa",14,7,2
"Baksa",15,7,5
"Baksa",16,5,3
"Barpeta",14,12,2
"Barpeta",15,16,3
"Barpeta",16,17,3
"Barpeta",17,7,1
"Biswanath",16,1,1
"Bongaigaon",14,4,3
"Bongaigaon",15,3,2
"Bongaigaon",16,2,2
"Bongaigaon",17,1,1
"Cachar",14,2,2
"Cachar",15,8,7
"Cachar",16,4,4
"Cachar",17,9,7
"Chirang",15,4,2
"Chirang",16,1,1
"Chirang",17,2,1
"Darrang",14,24,6
"Darrang",15,1,1
"Darrang",16,2,2
"Darrang",17,2,2
"Dhubri",14,8,7
"Dhubri",15,3,2
"Dhubri",16,2,2
"Dhubri",17,2,1
"Dibrugarh",14,4,2
"Dibrugarh",15,3,2
"Dibrugarh",16,1,1
"Dibrugarh",17,2,2
"East Siang",16,1,1
"Goalpara",17,3,3
"Golaghat",15,2,2
"Hailakandi",14,2,1
"Hailakandi",17,2,2
"Jorhat",15,2,2
"Kamrup",14,1,1
"Kamrup",16,1,1
"Kamrup",17,1,1
"Kamrup Metropolitan",14,18,9
"Kamrup Metropolitan",15,36,12
"Kamrup Metropolitan",16,13,6
"Kamrup Metropolitan",17,18,6
"Karbi Anglong",14,2,1
"Karbi Anglong",15,1,1
"Karbi Anglong",16,1,1
"Karimganj",14,12,5
"Karimganj",15,39,12
"Karimganj",16,60,9
"Karimganj",17,26,5
"Kokrajhar",14,39,11
"Kokrajhar",15,4,4
"Kokrajhar",16,14,9
"Kokrajhar",17,4,3
"Lakhimpur",14,2,2
"Lakhimpur",15,3,2
"Majuli",14,6,3
"Majuli",15,2,2
"Majuli",16,2,1
"Morigaon",14,2,1
"Morigaon",16,1,1
"Nagaon",14,1,1
"Nagaon",15,2,2
"Nagaon",16,1,1
"Nagaon",17,1,1
"Nalbari",14,1,1
"Nalbari",15,1,1
"Nalbari",16,1,1
"Nalbari",17,2,1
"Sonitpur",14,6,2
"Sonitpur",15,4,3
"Sonitpur",16,3,3
"Sonitpur",17,5,3
"Tinsukia",16,2,2
"Udalguri",14,1,1
