"COMMON.NAME","SCIENTIFIC.NAME"
"Asian Koel","Eudynamys scolopaceus"
"Asian Openbill","Anastomus oscitans"
"Asian Pied Starling","Gracupica contra"
"Asian Palm-Swift","Cypsiurus balasiensis"
"Barn Swallow","Hirundo rustica"
"Black-rumped Flameback","Dinopium benghalense"
"Black Drongo","Dicrurus macrocercus"
"Black Kite","Milvus migrans"
"Black Redstart","Phoenicurus ochruros"
"Black-hooded Oriole","Oriolus xanthornus"
"Blue-throated Barbet","Psilopogon asiaticus"
"Cattle Egret","Bubulcus ibis"
"Chestnut-headed Bee-eater","Merops leschenaulti"
"Chestnut-tailed Starling","Sturnia malabarica"
"Common Hawk-Cuckoo","Hierococcyx varius"
"Common Greenshank","Tringa nebularia"
"Common Iora","Aegithina tiphia"
"Common Kingfisher","Alcedo atthis"
"Eurasian Moorhen","Gallinula chloropus"
"Common Myna","Acridotheres tristis"
"Common Redshank","Tringa totanus"
"Common Sandpiper","Actitis hypoleucos"
"Dusky Warbler","Phylloscopus fuscatus"
"Crimson Sunbird","Aethopyga siparaja"
"Eastern Yellow Wagtail","Motacilla tschutschensis"
"Green Bee-eater","Merops orientalis"
"Great Egret","Ardea alba"
"Cinereous Tit","Parus cinereus"
"Eurasian Hoopoe","Upupa epops"
"House Crow","Corvus splendens"
"House Sparrow","Passer domesticus"
"Indian Cuckoo","Cuculus micropterus"
"Indian White-eye","Zosterops palpebrosus"
"Indian Pond-Heron","Ardeola grayii"
"Intermediate Egret","Ardea intermedia"
"Jungle Babbler","Turdoides striata"
"Jungle Myna","Acridotheres fuscus"
"Lesser Adjutant","Leptoptilos javanicus"
"Lineated Barbet","Psilopogon lineatus"
"Little Cormorant","Microcarbo niger"
"Little Egret","Egretta garzetta"
"Oriental Magpie-Robin","Copsychus saularis"
"Osprey","Pandion haliaetus"
"Purple Heron","Ardea purpurea"
"Purple Sunbird","Cinnyris asiaticus"
"Red-vented Bulbul","Pycnonotus cafer"
"Red-wattled Lapwing","Vanellus indicus"
"Rose-ringed Parakeet","Psittacula krameri"
"Rufous Treepie","Dendrocitta vagabunda"
"Siberian Stonechat","Saxicola maurus"
"Spotted Dove","Streptopelia chinensis"
"Spotted Owlet","Athene brama"
"White-breasted Waterhen","Amaurornis phoenicurus"
"White-throated Kingfisher","Halcyon smyrnensis"
"Yellow-footed Green-Pigeon","Treron phoenicopterus"
"Abbott's Babbler","Turdinus abbotti"
"Alexandrine Parakeet","Psittacula eupatria"
"Asian Brown Flycatcher","Muscicapa dauurica"
"Asian Barred Owlet","Glaucidium cuculoides"
"Asian Emerald Cuckoo","Chrysococcyx maculatus"
"Asian Fairy-bluebird","Irena puella"
"Ashy Drongo","Dicrurus leucophaeus"
"Ashy Prinia","Prinia socialis"
"Ashy Woodswallow","Artamus fuscus"
"Square-tailed Drongo-Cuckoo","Surniculus lugubris"
"Barred Cuckoo-Dove","Macropygia unchall"
"Baya Weaver","Ploceus philippinus"
"Blue-bearded Bee-eater","Nyctyornis athertoni"
"Bengal Florican","Houbaropsis bengalensis"
"Black-winged Kite","Elanus caeruleus"
"Black Bulbul","Hypsipetes leucocephalus"
"Black-crested Bulbul","Rubigula flaviventris"
"Blue-eared Barbet","Psilopogon duvaucelii"
"Black Francolin","Francolinus francolinus"
"Black-naped Monarch","Hypothymis azurea"
"Bluethroat","Luscinia svecica"
"Blyth's Paradise-Flycatcher","Terpsiphone affinis"
"Bristled Grassbird","Chaetornis striata"
"Brown Shrike","Lanius cristatus"
"Brown Crake","Zapornia akool"
"Bronzed Drongo","Dicrurus aeneus"
"Chestnut-capped Babbler","Timalia pileata"
"Chinese Rubythroat","Calliope tschebaiewi"
"Citrine Wagtail","Motacilla citreola"
"Collared Falconet","Microhierax caerulescens"
"Common Cuckoo","Cuculus canorus"
"Indian Peafowl","Pavo cristatus"
"Common Rosefinch","Carpodacus erythrinus"
"Common Tailorbird","Orthotomus sutorius"
"Common Woodshrike","Tephrodornis pondicerianus"
"Crested Goshawk","Accipiter trivirgatus"
"Crested Treeswift","Hemiprocne coronata"
"Crested Serpent-Eagle","Spilornis cheela"
"Dollarbird","Eurystomus orientalis"
"Western Yellow Wagtail","Motacilla flava"
"Asian Emerald Dove","Chalcophaps indica"
"Eurasian Collared-Dove","Streptopelia decaocto"
"Eurasian Wryneck","Jynx torquilla"
"Eurasian Tree Sparrow","Passer montanus"
"Fulvous-breasted Woodpecker","Dendrocopos macei"
