"COMMON.NAME","region","freq"
"Red-whiskered Bulbul","A&N",0.666666666666667
"White-throated Kingfisher","A&N",0.666666666666667
"White-breasted Waterhen","A&N",0.541666666666667
"Common Myna","A&N",0.5
"Andaman Coucal","A&N",0.458333333333333
"Red-vented Bulbul","Central",0.471628359713534
"Black Drongo","Central",0.470559606350045
"Common Myna","Central",0.448991193670989
"Cattle Egret","Central",0.39895636442158
"Asian Koel","Central",0.359727642653915
"Red-vented Bulbul","East",0.498557335337521
"Common Myna","East",0.452368941687827
"Spotted Dove","East",0.386301376641934
"Asian Koel","East",0.33950182943991
"Oriental Magpie-Robin","East",0.319982081901587
"Himalayan Bulbul","Himalayas",0.342849882864901
"Common Myna","Himalayas",0.33420073986906
"Large-billed Crow","Himalayas",0.308072894656429
"House Sparrow","Himalayas",0.291927132433094
"Rock Pigeon","Himalayas",0.260829906057145
"Rock Pigeon","North",0.710876623376623
"Common Myna","North",0.657792207792208
"House Crow","North",0.640909090909091
"Red-vented Bulbul","North",0.533279220779221
"Rose-ringed Parakeet","North",0.504220779220779
"Common Myna","South",0.484526210596882
"House Crow","South",0.461261358342215
"Asian Koel","South",0.448069416443769
"Common Tailorbird","South",0.424785361038707
"Rock Pigeon","South",0.407858709657646
"Red-wattled Lapwing","West",0.581302614089499
"Rock Pigeon","West",0.578865750996899
"Red-vented Bulbul","West",0.573918180475558
"Purple Sunbird","West",0.549401860877271
"Eurasian Collared-Dove","West",0.54319893664156
