"COMMON.NAME","freq"
"Common Myna",0.47805695507212
"Red-vented Bulbul",0.396806565787824
"Rock Pigeon",0.382191682846596
"Asian Koel",0.377862659621245
"House Crow",0.34122029685892
"Black Drongo",0.317458287874345
"Oriental Magpie-Robin",0.309023136018499
"White-throated Kingfisher",0.294263757321766
"Red-wattled Lapwing",0.283694644587288
"Common Tailorbird",0.26942329593964
"Cattle Egret",0.265627134484742
"Rose-ringed Parakeet",0.259865545687399
"Black Kite",0.22924008214439
"Large-billed Crow",0.228111414335067
"Spotted Dove",0.226998389249272
"Indian Pond-Heron",0.220047031873799
"Greater Coucal",0.21796068989258
"House Sparrow",0.210162745774441
"Purple Sunbird",0.204314333746546
"Green Bee-eater",0.198863793911632
"Jungle Babbler",0.1705481332349
"Indian Peafowl",0.168797405902351
"Red-whiskered Bulbul",0.167370980115144
"Ashy Prinia",0.163453432011375
"Asian Pied Starling",0.159796806614986
"Eurasian Collared-Dove",0.157500223073363
"Indian Robin",0.156509471288549
"White-breasted Waterhen",0.152595979416718
"Laughing Dove",0.151696772810544
"Rufous Treepie",0.150556927488714
"Coppersmith Barbet",0.139018823316534
"Little Cormorant",0.130242850742018
"Little Egret",0.124224066183991
"Gray Francolin",0.120496289833718
"Shikra",0.105438383576751
"Indian White-eye",0.0935925012545011
"Common Hawk-Cuckoo",0.0931031008125664
"Black-hooded Oriole",0.0923635556674181
"Purple-rumped Sunbird",0.0902891443380309
"Yellow-footed Green-Pigeon",0.0867413588640452
"Brahminy Starling",0.0865259744115271
"Jungle Myna",0.0817111227439979
"Lesser Whistling-Duck",0.0812254070743979
"Asian Palm-Swift",0.0802581785462404
"Indian Gray Hornbill",0.0775901649890166
"Plain Prinia",0.0775155275054652
"Black-rumped Flameback",0.0773577462912246
"Brown-headed Barbet",0.0758319939721354
"Common Iora",0.0702607116397351
"Gray-headed Swamphen",0.0697641969206259
"Pied Bushchat",0.0691822351007016
"Indian Golden Oriole",0.0685443169199931
"Spotted Owlet",0.068089678282654
"Indian Spot-billed Duck",0.067198005846491
"Indian Roller",0.0668482576141674
"Plum-headed Parakeet",0.0667403560362018
"Black-winged Stilt",0.0655991360042241
"Cinereous Tit",0.0655455231577368
"Eurasian Moorhen",0.0640676399464147
"Indian Cuckoo",0.0624556245425344
"Intermediate Egret",0.0602544569968704
"Paddyfield Pipit",0.0583334190735453
"Common Kingfisher",0.0581212009265325
"Yellow-throated Sparrow",0.0578529324386375
"Baya Weaver",0.0576282539440364
"Himalayan Bulbul",0.0575303099572675
"Great Egret",0.0572728685108132
"Blue Whistling-Thrush",0.0571707133018215
"Little Swift",0.057125630884491
"Asian Openbill",0.0554468550312372
"Wire-tailed Swallow",0.054877190602658
"Oriental Turtle-Dove",0.0543941426474494
"Chestnut-tailed Starling",0.0535416289577936
"Blue-throated Barbet",0.0531861302891744
"White-cheeked Barbet",0.0525592833242226
"Brown Rock Chat",0.051365123972137
"Eurasian Hoopoe",0.0513354389656767
"Red-naped Ibis",0.0509948562354078
"Indian Silverbill",0.0507127311433411
"Purple Heron",0.0506988359837376
"Red Collared-Dove",0.0503799384400719
"Great Barbet",0.0499728767440653
"Pale-billed Flowerpecker",0.0493939406952297
"Black-winged Kite",0.0482660296433403
"Brahminy Kite",0.0473239763709108
"Ashy Drongo",0.0459242442432464
"Gray Heron",0.0459136761973151
"Black-crowned Night-Heron",0.0456652868689436
"Black-headed Ibis",0.0455156038557629
"Long-tailed Shrike",0.0450043661211221
"Verditer Flycatcher",0.0447388403688839
"Indian Paradise-Flycatcher",0.0442591024756845
