"ST_NM","lists"
"MADHYA PRADESH",808
"KARNATAKA",686
"TAMIL NADU",364
"KERALA",303
"MAHARASHTRA",262
"UTTARAKHAND",199
"LADAKH",198
"JAMMU & KASHMIR",176
"HIMACHAL PRADESH",166
"RAJASTHAN",165
"WEST BENGAL",123
"GUJARAT",90
"ANDHRA PRADESH",81
"TRIPURA",64
"UTTAR PRADESH",63
"ARUNACHAL PRADESH",61
"SIKKIM",53
"ODISHA",48
"ANDAMAN & NICOBAR",43
"CHHATTISGARH",39
"ASSAM",38
"HARYANA",38
"PUNJAB",37
"DELHI",35
"JHARKHAND",25
"PUDUCHERRY",24
"CHANDIGARH",15
"GOA",15
"MEGHALAYA",13
"NAGALAND",13
"TELANGANA",13
"MIZORAM",4
"BIHAR",1
