"COMMON.NAME","SCIENTIFIC.NAME"
"Asian Pied Starling","Gracupica contra"
"Black Drongo","Dicrurus macrocercus"
"Common Myna","Acridotheres tristis"
"Eurasian Collared-Dove","Streptopelia decaocto"
"House Sparrow","Passer domesticus"
"Red-vented Bulbul","Pycnonotus cafer"
"White-breasted Waterhen","Amaurornis phoenicurus"
"Asian Koel","Eudynamys scolopaceus"
"Black Kite","Milvus migrans"
"Indian Peafowl","Pavo cristatus"
"Greater Coucal","Centropus sinensis"
"Large-billed Crow","Corvus macrorhynchos"
"Oriental Magpie-Robin","Copsychus saularis"
"Pale-billed Flowerpecker","Dicaeum erythrorhynchos"
"Red-whiskered Bulbul","Pycnonotus jocosus"
"White-cheeked Barbet","Psilopogon viridis"
"Ashy-crowned Sparrow-Lark","Eremopterix griseus"
"Asian Openbill","Anastomus oscitans"
"Asian Palm-Swift","Cypsiurus balasiensis"
"Bank Myna","Acridotheres ginginianus"
"Black-winged Stilt","Himantopus himantopus"
"Cattle Egret","Bubulcus ibis"
"Coppersmith Barbet","Psilopogon haemacephalus"
"Gray Heron","Ardea cinerea"
"Green Bee-eater","Merops orientalis"
"Great Egret","Ardea alba"
"Gray Francolin","Ortygornis pondicerianus"
"House Crow","Corvus splendens"
"Indian Cormorant","Phalacrocorax fuscicollis"
"Indian Pond-Heron","Ardeola grayii"
"Intermediate Egret","Ardea intermedia"
"Little Cormorant","Microcarbo niger"
"Little Egret","Egretta garzetta"
"Painted Stork","Mycteria leucocephala"
"Pied Kingfisher","Ceryle rudis"
"Red-wattled Lapwing","Vanellus indicus"
"River Lapwing","Vanellus duvaucelii"
"Sand Lark","Alaudala raytal"
"Small Pratincole","Glareola lactea"
"Spotted Dove","Streptopelia chinensis"
"White-throated Kingfisher","Halcyon smyrnensis"
"Yellow-footed Green-Pigeon","Treron phoenicopterus"
"Black-headed Ibis","Threskiornis melanocephalus"
"Black-necked Stork","Ephippiorhynchus asiaticus"
"Brahminy Starling","Sturnia pagodarum"
"Brown-headed Barbet","Psilopogon zeylanicus"
"Bronze-winged Jacana","Metopidius indicus"
"Common Hawk-Cuckoo","Hierococcyx varius"
"Glossy Ibis","Plegadis falcinellus"
"Greater Painted-Snipe","Rostratula benghalensis"
"Indian Robin","Copsychus fulicatus"
"Indian Scops-Owl","Otus bakkamoena"
"Jungle Babbler","Argya striata"
"Purple Heron","Ardea purpurea"
"Purple Sunbird","Cinnyris asiaticus"
"Rose-ringed Parakeet","Psittacula krameri"
"Rufous Treepie","Dendrocitta vagabunda"
"White-eared Bulbul","Pycnonotus leucotis"
"Woolly-necked Stork","Ciconia episcopus"
"Common Tailorbird","Orthotomus sutorius"
"White-rumped Munia","Lonchura striata"
"Greater Flameback","Chrysocolaptes guttacristatus"
"Crested Serpent-Eagle","Spilornis cheela"
"Black-backed Forktail","Enicurus immaculatus"
"Greater Necklaced Laughingthrush","Pterorhinus pectoralis"
"Common Green-Magpie","Cissa chinensis"
"Greater Racket-tailed Drongo","Dicrurus paradiseus"
"Lesser Yellownape","Picus chlorolophus"
"Black-crested Bulbul","Rubigula flaviventris"
"Pin-striped Tit-Babbler","Mixornis gularis"
"Blue-throated Barbet","Psilopogon asiaticus"
"Blue Whistling-Thrush","Myophonus caeruleus"
"Chestnut-bellied Nuthatch","Sitta cinnamoventris"
"Hair-crested Drongo","Dicrurus hottentottus"
"Large Cuckooshrike","Coracina macei"
"Scarlet Minivet","Pericrocotus speciosus"
"Himalayan Bulbul","Pycnonotus leucogenys"
"Golden-fronted Leafbird","Chloropsis aurifrons"
"Gray-headed Woodpecker","Picus canus"
"Pin-tailed Green-Pigeon","Treron apicauda"
"White-rumped Shama","Copsychus malabaricus"
"Indian Roller","Coracias benghalensis"
"White-bellied Erpornis","Erpornis zantholeuca"
"Ashy Prinia","Prinia socialis"
"Black-rumped Flameback","Dinopium benghalense"
"Black-winged Kite","Elanus caeruleus"
"Brahminy Kite","Haliastur indus"
"Clamorous Reed Warbler","Acrocephalus stentoreus"
"Common Kingfisher","Alcedo atthis"
"Eurasian Moorhen","Gallinula chloropus"
"Oriental Darter","Anhinga melanogaster"
"Eurasian Coot","Fulica atra"
"Great Cormorant","Phalacrocorax carbo"
"Indian Spot-billed Duck","Anas poecilorhyncha"
"Little Grebe","Tachybaptus ruficollis"
"Long-tailed Shrike","Lanius schach"
"Pied Bushchat","Saxicola caprata"
"Gray-bellied Cuckoo","Cacomantis passerinus"
"Purple-rumped Sunbird","Leptocoma zeylonica"
"Gray-headed Swamphen","Porphyrio poliocephalus"
"Red-rumped Swallow","Cecropis daurica"
"Shikra","Accipiter badius"
"Spot-billed Pelican","Pelecanus philippensis"
"White-browed Wagtail","Motacilla maderaspatensis"
"Wire-tailed Swallow","Hirundo smithii"
"Black-crowned Night-Heron","Nycticorax nycticorax"
"Black Bittern","Ixobrychus flavicollis"
