"COMMON.NAME","freq"
"House Crow",0.48698470038249
"Common Myna",0.408467913302167
"Rose-ringed Parakeet",0.316245218869528
"Red-vented Bulbul",0.310560985975351
"Rock Pigeon",0.285061623459413
"Black Drongo",0.277889927751806
"Large-billed Crow",0.266043348916277
"Asian Koel",0.228272418189545
"Common Tailorbird",0.215203994900128
"Black Kite",0.213504037399065
"White-throated Kingfisher",0.210794730131747
"Indian Pond-Heron",0.204473013174671
"House Sparrow",0.198470038249044
"Cattle Egret",0.188960900977476
"Purple Sunbird",0.186517212069698
"Greater Coucal",0.17079260518487
"Spotted Dove",0.16340841478963
"Oriental Magpie-Robin",0.163249043773906
"Indian Robin",0.148905652358691
"Green Bee-eater",0.144815129621759
"Rufous Treepie",0.140937101572461
"Purple-rumped Sunbird",0.140777730556736
"Red-wattled Lapwing",0.140618359541011
"Red-whiskered Bulbul",0.138280917977051
"Yellow-billed Babbler",0.135571610709732
"White-cheeked Barbet",0.131427964300892
"Asian Palm-Swift",0.118359541011475
"Brahminy Kite",0.118306417339567
"Little Cormorant",0.114694007649809
"Coppersmith Barbet",0.104759881002975
"Ashy Prinia",0.104175520611985
"Little Egret",0.100563110922227
"Jungle Babbler",0.0970569485762856
"Shikra",0.0898852528686783
"Pied Bushchat",0.0863259668508287
"Blyth's Reed Warbler",0.0854759881002975
"Indian Roller",0.0814917127071823
"White-breasted Waterhen",0.0786761580960476
"Barn Swallow",0.0781449213769656
"Laughing Dove",0.0759137271568211
"Indian Peafowl",0.0758074798130047
"Black-rumped Flameback",0.0713982150446239
"Indian Golden Oriole",0.0689014024649384
"Pale-billed Flowerpecker",0.0670420739481513
"Eurasian Collared-Dove",0.0631109222269443
"Intermediate Egret",0.0602953676158096
"Plain Prinia",0.059339141521462
"Blue-tailed Bee-eater",0.0592860178495538
"Gray Francolin",0.0559923501912452
"White-browed Wagtail",0.0558329791755206
"Cinereous Tit",0.0557267318317042
"Black-hooded Oriole",0.0549298767530812
"Gray Heron",0.0520611984700382
"Common Iora",0.0518487037824054
"Common Kingfisher",0.0518487037824054
"Common Sandpiper",0.0510518487037824
"Jungle Myna",0.0507331066723332
"Great Egret",0.0500956226094348
"Long-tailed Shrike",0.0500956226094348
"Asian Pied Starling",0.0497768805779856
"Indian White-eye",0.0491393965150871
"Ashy Drongo",0.0490331491712707
"Brahminy Starling",0.0488737781555461
"Purple Heron",0.0483425414364641
"Black-winged Stilt",0.0440395240118997
"Little Grebe",0.0434551636209095
"Indian Spot-billed Duck",0.0432957926051849
"Plum-headed Parakeet",0.0427645558861028
"Black-headed Ibis",0.0420739481512962
"Gray-headed Swamphen",0.0413302167445814
"Indian Gray Hornbill",0.0413302167445814
"Asian Openbill",0.0401614959626009
"Wood Sandpiper",0.0396833829154271
"Spotted Owlet",0.0389927751806205
"White-browed Bulbul",0.0384615384615385
"Common Hawk-Cuckoo",0.036495962600935
"Eurasian Coot",0.0363897152571186
"Eurasian Hoopoe",0.036230344241394
"Himalayan Bulbul",0.0361240968975776
"Greater Racket-tailed Drongo",0.035964725881853
"Indian Paradise-Flycatcher",0.035964725881853
"Red-rumped Swallow",0.0351147471313217
"Paddyfield Pipit",0.0350084997875053
"Gray Wagtail",0.0346897577560561
"Scaly-breasted Munia",0.0343710157246069
"Little Swift",0.0342647683807905
"Indian Silverbill",0.0337335316617085
"Black-winged Kite",0.0329898002549936
"White Wagtail",0.0323523161920952
"Chestnut-tailed Starling",0.0318210794730132
"Blue Whistling-Thrush",0.031502337441564
"Lesser Whistling-Duck",0.0313429664258394
"Brown-headed Barbet",0.0310242243943901
"Eurasian Moorhen",0.0309711007224819
"Greenish Warbler",0.0308117297067573
"Indian Cormorant",0.0301211219719507
"Great Cormorant",0.0296430089247769
"Brown Shrike",0.0295367615809605
"Alexandrine Parakeet",0.0291648958776031
