"COMMON.NAME","freq"
"House Crow",0.452939645234465
"Common Myna",0.36815291361422
"Rose-ringed Parakeet",0.327358595812725
"Red-vented Bulbul",0.288869882116693
"Black Drongo",0.276189059536648
"Rock Pigeon",0.274106578409133
"House Sparrow",0.230523223383288
"Large-billed Crow",0.221040496820498
"Indian Pond-Heron",0.201294113272098
"White-throated Kingfisher",0.197203525343052
"Asian Koel",0.193745119184857
"Black Kite",0.183778959503179
"Common Tailorbird",0.181250232419769
"Greater Coucal",0.170540329478264
"Purple Sunbird",0.169833773381429
"Cattle Egret",0.168904094306645
"Spotted Dove",0.167974415231862
"Indian Robin",0.159421367743855
"Oriental Magpie-Robin",0.157599196757279
"Red-wattled Lapwing",0.154698598043955
"Red-whiskered Bulbul",0.136402513852218
"White-cheeked Barbet",0.133539102301885
"Purple-rumped Sunbird",0.132572236064111
"Green Bee-eater",0.118701424268343
"Rufous Treepie",0.117548622215611
"Yellow-billed Babbler",0.115503328251088
"Little Cormorant",0.111784611951954
"Brahminy Kite",0.110222751106318
"Jungle Babbler",0.107954334163847
"Asian Palm-Swift",0.105648730058384
"Little Egret",0.101892826596259
"Indian Peafowl",0.0942322710200439
"Ashy Prinia",0.0920010412405638
"Coppersmith Barbet",0.0870923357257075
"Laughing Dove",0.0853073519021234
"White-breasted Waterhen",0.0802870848982931
"Shikra",0.0785764754006917
"Barn Swallow",0.0708415454984939
"Indian Roller",0.0690937488379012
"Pied Bushchat",0.0676434494812391
"Indian Golden Oriole",0.0672343906883344
"Eurasian Collared-Dove",0.0655981555167156
"Great Egret",0.0643709791380016
"Intermediate Egret",0.0637387973671489
"Gray Francolin",0.0629950541073221
"Black-rumped Flameback",0.0620281878695474
"Pale-billed Flowerpecker",0.0611728831207467
"Blyth's Reed Warbler",0.059425086460154
"Greater Racket-tailed Drongo",0.0559666803019598
"Black-hooded Oriole",0.0557435573240118
"Plain Prinia",0.054218883641367
"Blue-tailed Bee-eater",0.0539585735004277
"Common Iora",0.0520992153508609
"Gray Heron",0.0493101781265107
"Common Kingfisher",0.0490498679855714
"Black-winged Stilt",0.0470417611840393
"Common Hawk-Cuckoo",0.0465211409021606
"White-browed Wagtail",0.0462980179242126
"Indian White-eye",0.0457773976423339
"Paddyfield Pipit",0.0457402104793425
"Purple Heron",0.0448849057305418
"Asian Pied Starling",0.0448477185675505
"Ashy Drongo",0.0446245955896025
"Common Sandpiper",0.0444386597746458
"Plum-headed Parakeet",0.0441783496337064
"Gray-headed Swamphen",0.0432858577219144
"Cinereous Tit",0.0424305529731137
"Little Grebe",0.0422074299951657
"Indian Spot-billed Duck",0.0416124353873043
"Jungle Myna",0.0416124353873043
"Spotted Owlet",0.0400877617046596
"Black-headed Ibis",0.0400505745416682
"Long-tailed Shrike",0.0393812056078242
"Brahminy Starling",0.0367409170354394
"Asian Openbill",0.0362946710795433
"Wood Sandpiper",0.0359599866126213
"Eurasian Moorhen",0.0355137406567253
"Eurasian Hoopoe",0.0348071845598899
"Indian Gray Hornbill",0.0338775054851065
"Eurasian Coot",0.0337659439961325
