"ST_NM","daym","lists","birders"
"ANDAMAN & NICOBAR",12,22,8
"ANDAMAN & NICOBAR",13,25,14
"ANDAMAN & NICOBAR",14,51,16
"ANDAMAN & NICOBAR",15,14,9
"ANDHRA PRADESH",12,210,25
"ANDHRA PRADESH",13,628,35
"ANDHRA PRADESH",14,512,41
"ANDHRA PRADESH",15,273,31
"ARUNACHAL PRADESH",12,5,3
"ARUNACHAL PRADESH",13,3,2
"ARUNACHAL PRADESH",15,7,5
"ASSAM",12,159,76
"ASSAM",13,140,76
"ASSAM",14,111,55
"ASSAM",15,75,43
"BIHAR",12,4,4
"BIHAR",13,7,5
"BIHAR",14,12,10
"BIHAR",15,10,7
"CHANDIGARH",12,7,7
"CHANDIGARH",13,14,11
"CHANDIGARH",14,10,7
"CHANDIGARH",15,9,7
"CHHATTISGARH",12,54,22
"CHHATTISGARH",13,61,29
"CHHATTISGARH",14,98,32
"CHHATTISGARH",15,55,22
"DADRA & NAGAR HAVE",14,1,1
"DAMAN & DIU",12,2,1
"DAMAN & DIU",13,1,1
"DELHI",12,36,27
"DELHI",13,57,37
"DELHI",14,35,31
"DELHI",15,27,22
"GOA",12,13,12
"GOA",13,24,13
"GOA",14,31,22
"GOA",15,20,10
"GUJARAT",12,112,63
"GUJARAT",13,209,69
"GUJARAT",14,209,94
"GUJARAT",15,169,59
"HARYANA",12,32,18
"HARYANA",13,30,21
"HARYANA",14,29,26
"HARYANA",15,16,11
"HIMACHAL PRADESH",12,103,49
"HIMACHAL PRADESH",13,95,48
"HIMACHAL PRADESH",14,87,53
"HIMACHAL PRADESH",15,62,39
"JAMMU & KASHMIR",12,329,60
"JAMMU & KASHMIR",13,287,54
"JAMMU & KASHMIR",14,304,49
"JAMMU & KASHMIR",15,175,36
"JHARKHAND",12,7,6
"JHARKHAND",13,3,3
"JHARKHAND",14,8,7
"JHARKHAND",15,1,1
"KARNATAKA",12,614,212
"KARNATAKA",13,651,254
"KARNATAKA",14,571,263
"KARNATAKA",15,448,142
"KERALA",12,1532,212
"KERALA",13,1831,229
"KERALA",14,1721,236
"KERALA",15,1183,165
"LADAKH",12,52,16
"LADAKH",13,32,14
"LADAKH",14,18,14
"LADAKH",15,19,11
"LAKSHADWEEP",15,1,1
"MADHYA PRADESH",12,204,76
"MADHYA PRADESH",13,402,118
"MADHYA PRADESH",14,218,96
"MADHYA PRADESH",15,111,41
"MAHARASHTRA",12,435,154
"MAHARASHTRA",13,480,233
"MAHARASHTRA",14,492,237
"MAHARASHTRA",15,324,143
"MANIPUR",12,7,4
"MANIPUR",13,11,3
"MANIPUR",14,4,2
"MEGHALAYA",12,26,8
"MEGHALAYA",13,14,5
"MEGHALAYA",14,4,2
"MEGHALAYA",15,11,6
"NAGALAND",12,1,1
"NAGALAND",13,2,1
"NAGALAND",14,7,4
"NAGALAND",15,7,4
"ODISHA",12,60,29
"ODISHA",13,49,34
"ODISHA",14,54,26
"ODISHA",15,32,11
"PUDUCHERRY",12,23,13
"PUDUCHERRY",13,23,11
"PUDUCHERRY",14,44,7
"PUDUCHERRY",15,42,17
"PUNJAB",12,13,9
"PUNJAB",13,26,16
"PUNJAB",14,33,20
"PUNJAB",15,12,7
"RAJASTHAN",12,60,22
"RAJASTHAN",13,104,30
"RAJASTHAN",14,112,31
"RAJASTHAN",15,63,17
"SIKKIM",12,18,10
"SIKKIM",13,11,9
"SIKKIM",14,14,6
"SIKKIM",15,13,7
"TAMIL NADU",12,3442,183
"TAMIL NADU",13,3324,179
"TAMIL NADU",14,2769,209
"TAMIL NADU",15,1758,135
"TELANGANA",12,42,22
"TELANGANA",13,56,31
"TELANGANA",14,57,31
"TELANGANA",15,306,17
"TRIPURA",12,3,3
"TRIPURA",14,1,1
"TRIPURA",15,1,1
"UTTAR PRADESH",12,61,27
"UTTAR PRADESH",13,46,30
"UTTAR PRADESH",14,78,37
"UTTAR PRADESH",15,48,19
"UTTARAKHAND",12,438,86
"UTTARAKHAND",13,328,77
"UTTARAKHAND",14,319,83
"UTTARAKHAND",15,250,68
"WEST BENGAL",12,163,88
"WEST BENGAL",13,203,96
"WEST BENGAL",14,174,103
"WEST BENGAL",15,46,38
