"ST_NM","lists"
"TAMIL NADU",10452
"KERALA",9387
"KARNATAKA",3439
"GUJARAT",3011
"MAHARASHTRA",2761
"RAJASTHAN",2419
"ANDHRA PRADESH",1687
"UTTARAKHAND",1623
"MADHYA PRADESH",1190
"CHHATTISGARH",585
"HIMACHAL PRADESH",551
"WEST BENGAL",519
"ODISHA",499
"LADAKH",392
"TRIPURA",379
"ANDAMAN & NICOBAR",361
"ASSAM",321
"UTTAR PRADESH",316
"DELHI",195
"JAMMU & KASHMIR",154
"JHARKHAND",142
"MEGHALAYA",137
"PUDUCHERRY",135
"TELANGANA",133
"ARUNACHAL PRADESH",123
"GOA",114
"HARYANA",113
"PUNJAB",84
"NAGALAND",79
"MIZORAM",66
"BIHAR",50
"SIKKIM",27
"CHANDIGARH",21
"MANIPUR",16
"DADRA & NAGAR HAVE",7
