"COMMON.NAME","SCIENTIFIC.NAME"
"Alexandrine Parakeet","Psittacula eupatria"
"Andaman Cuckoo-Dove","Macropygia rufipennis"
"Andaman Bulbul","Brachypodius fuscoflavescens"
"Andaman Coucal","Centropus andamanensis"
"Andaman Cuckooshrike","Coracina dobsoni"
"Andaman Drongo","Dicrurus andamanensis"
"Andaman Flowerpecker","Dicaeum virescens"
"Andaman Shama","Copsychus albiventris"
"Andaman Woodpecker","Dryocopus hodgei"
"Andaman Serpent-Eagle","Spilornis elgini"
"Asian Brown Flycatcher","Muscicapa dauurica"
"Asian Fairy-bluebird","Irena puella"
"Asian Glossy Starling","Aplonis panayensis"
"Asian Koel","Eudynamys scolopaceus"
"Andaman Masked-Owl","Tyto deroepstorffi"
"Barn Swallow","Hirundo rustica"
"Black Drongo","Dicrurus macrocercus"
"Black-naped Monarch","Hypothymis azurea"
"Black-naped Oriole","Oriolus chinensis"
"Brown Shrike","Lanius cristatus"
"Blue-tailed Bee-eater","Merops philippinus"
"Cattle Egret","Bubulcus ibis"
"Chestnut-headed Bee-eater","Merops leschenaulti"
"Collared Kingfisher","Todiramphus chloris"
"Common Kingfisher","Alcedo atthis"
"Common Myna","Acridotheres tristis"
"Common Redshank","Tringa totanus"
"Common Sandpiper","Actitis hypoleucos"
"Crested Serpent-Eagle","Spilornis cheela"
"Eastern Yellow Wagtail","Motacilla tschutschensis"
"Asian Emerald Dove","Chalcophaps indica"
"Freckle-breasted Woodpecker","Dendrocopos analis"
"Great Egret","Ardea alba"
"Green Imperial-Pigeon","Ducula aenea"
"Greater Racket-tailed Drongo","Dicrurus paradiseus"
"Gray Wagtail","Motacilla cinerea"
"Common Hill Myna","Gracula religiosa"
"House Crow","Corvus splendens"
"House Sparrow","Passer domesticus"
"Indian Cuckoo","Cuculus micropterus"
"Indian White-eye","Zosterops palpebrosus"
"Indian Pond-Heron","Ardeola grayii"
"Large-billed Crow","Corvus macrorhynchos"
"Large Cuckooshrike","Coracina macei"
"Lesser Crested Tern","Thalasseus bengalensis"
"Lesser Sand-Plover","Charadrius mongolus"
"Little Egret","Egretta garzetta"
"Long-tailed Parakeet","Psittacula longicauda"
"Oriental Magpie-Robin","Copsychus saularis"
"Olive-backed Sunbird","Cinnyris jugularis"
"Oriental Scops-Owl","Otus sunia"
"Osprey","Pandion haliaetus"
"Pacific Reef-Heron","Egretta sacra"
"Pacific Swallow","Hirundo tahitica"
"Pacific Golden-Plover","Pluvialis fulva"
"Plume-toed Swiftlet","Collocalia affinis"
"Red-breasted Parakeet","Psittacula alexandri"
"Red Collared-Dove","Streptopelia tranquebarica"
"Red-whiskered Bulbul","Pycnonotus jocosus"
"Ruddy Kingfisher","Halcyon coromanda"
"Scarlet Minivet","Pericrocotus speciosus"
"Small Minivet","Pericrocotus cinnamomeus"
"Stork-billed Kingfisher","Pelargopsis capensis"
"Vernal Hanging-Parrot","Loriculus vernalis"
"Watercock","Gallicrex cinerea"
"White-bellied Sea-Eagle","Haliaeetus leucogaster"
"White-breasted Woodswallow","Artamus leucorynchus"
"White-headed Starling","Sturnia erythropygia"
"Whimbrel","Numenius phaeopus"
