"COMMON.NAME","freq"
"Common Myna",0.352447802950425
"Red-vented Bulbul",0.310226454980257
"Rock Pigeon",0.299505416419841
"Blue Whistling-Thrush",0.228348787342516
"Large-billed Crow",0.22586221108386
"Spotted Dove",0.225057094271531
"House Sparrow",0.223019506280715
"Great Barbet",0.214046294872496
"House Crow",0.210448326637898
"Black Kite",0.203950331470185
"Himalayan Bulbul",0.194649110655118
"Oriental Turtle-Dove",0.190173591193365
"Asian Koel",0.183141179131981
"Verditer Flycatcher",0.180972492018348
"Oriental Magpie-Robin",0.179472705591659
"Ashy Drongo",0.174978016986685
"Common Tailorbird",0.169398546489441
"Black Bulbul",0.162067517819979
"Green-backed Tit",0.154435210308301
"Blue-throated Barbet",0.147719915079027
"Rose-ringed Parakeet",0.147236179741581
"Common Cuckoo",0.146201614556671
"Black Drongo",0.141106995889737
"Large Hawk-Cuckoo",0.135626364349744
"Cattle Egret",0.133263682765401
"Red-wattled Lapwing",0.12718642337225
"Eurasian Collared-Dove",0.125044656037238
"White-throated Kingfisher",0.121010867747986
"Gray-hooded Warbler",0.118149260537405
"Cinereous Tit",0.110426288125791
"Indian White-eye",0.106293117683273
"Russet Sparrow",0.10625038595829
"Gray Treepie",0.103592032151896
"Eurasian Tree Sparrow",0.103400129282482
"Rufous Sibia",0.102417278818798
"Gray Bushchat",0.102173891440076
"Indian Cuckoo",0.101716749924417
"Long-tailed Shrike",0.099347054927868
"Jungle Babbler",0.0916883179375115
"Purple Sunbird",0.0900946699654204
"Barn Swallow",0.0896838531771176
"Greater Coucal",0.0841228809018155
"Brown Rock Chat",0.0838757989533942
"Green Bee-eater",0.0812940506905828
"Scarlet Minivet",0.0804158881677012
"Indian Peafowl",0.0766487142312018
"Himalayan Cuckoo",0.0743253359863317
"Kalij Pheasant",0.0725167231104464
"Wire-tailed Swallow",0.072276315138009
"Streaked Laughingthrush",0.0713965224387106
"White-throated Fantail",0.0706036597009475
"Rufous Treepie",0.0703972483202608
"Brownish-flanked Bush Warbler",0.0698589982713011
"Gray-headed Canary-Flycatcher",0.0695769688275732
"Pied Bushchat",0.0692420718134094
"Black-throated Tit",0.069113522047631
"Ashy Prinia",0.068486524170773
"Striated Laughingthrush",0.0682306937527382
"Whiskered Yuhina",0.0675857909022408
"Black Francolin",0.0669435466003982
"Lesser Cuckoo",0.0662780675776572
"Rusty-cheeked Scimitar-Babbler",0.0661022965316202
"Indian Pond-Heron",0.0648082140486421
"White-crested Laughingthrush",0.0642770153372202
"Yellow-billed Blue-Magpie",0.0628985278037992
"Jungle Myna",0.0604620614633973
"Chestnut-tailed Starling",0.0603728656900062
"Red-billed Leiothrix",0.0587713568040493
"Red Junglefowl",0.0580680807133057
"Gray-headed Woodpecker",0.0575500368500869
"Plum-headed Parakeet",0.0568581920968941
"Wedge-tailed Green-Pigeon",0.0568447695200314
"Paddyfield Pipit",0.0565812204755453
"Chestnut-crowned Laughingthrush",0.0546147141680698
"Eurasian Hoopoe",0.0541171679787655
"Red-rumped Swallow",0.0529615713268913
"Indian Gray Hornbill",0.0522984335253939
"Brown-headed Barbet",0.0513030227406962
"Long-tailed Minivet",0.0505918203289844
"Indian Paradise-Flycatcher",0.0504830103678691
"Himalayan Griffon",0.0493487442436152
"Red-whiskered Bulbul",0.0483382478386507
