"DISTRICT","lists"
"Leh",187
"Bagmati",66
"Darjiling",65
"Mandi",63
"Doda",58
"Dehradun",53
"Nainital",53
"Lower Dibang Valley",32
"Solan",30
"East District",29
"Hardwar",29
"West Kameng",27
"Kathua",26
"Pithoragarh",23
"Gandaki",22
"Kullu",22
"Jammu",19
"Pulwama",18
"Shimla",18
"Almora
",17
"Lumbini",17
"Sahibzada Ajit Singh Nag*",14
"Tsirang",14
"Panchkula",13
"Badgam",12
"Srinagar",12
"Kargil",11
"Trashigang",11
"West District",11
"Kalimpong",10
"North  District",9
"Ganderbal",8
"Garhwal",8
"Punakha",8
"Tehri Garhwal",8
"Lahul & Spiti",7
"Yangtse",7
"Chamba",6
"Kangra",6
"Sirmaur",6
"Baksa",5
"Samdrupjongkhar",5
"Sonitpur",5
"Zhemgang",5
"Anantnag",4
"Chamoli",4
"Province 2",4
"Sarpang",4
"South District",4
"Alipurduar",3
"Baramula",3
"Bilaspur",3
"Monggar",3
"Paro",3
"Province 1",3
"Punch",3
"Rajouri",3
"Thimphu",3
"Hamirpur",2
"Kheri",2
"Kupwara",2
"Lhuentse",2
"Mirpur",2
"Ramban",2
"Rudraprayag",2
"Udhampur",2
"Una",2
"Bandipore",1
"Kinnaur",1
"Lower Subansiri",1
"Pathankot",1
"Reasi",1
"Samtse",1
"Siang",1
"Sudurpaschim",1
"Udham Singh Nagar",1
"Uttarkashi",1
"Wangduephodrang",1
