"COMMON.NAME","SCIENTIFIC.NAME"
"Asian Pied Starling","Gracupica contra"
"Black Drongo","Dicrurus macrocercus"
"Common Myna","Acridotheres tristis"
"Eurasian Collared-Dove","Streptopelia decaocto"
"House Sparrow","Passer domesticus"
"Red-vented Bulbul","Pycnonotus cafer"
"White-breasted Waterhen","Amaurornis phoenicurus"
"Common Tailorbird","Orthotomus sutorius"
"Greater Flameback","Chrysocolaptes guttacristatus"
"Black Kite","Milvus migrans"
"Cattle Egret","Bubulcus ibis"
"Crested Serpent-Eagle","Spilornis cheela"
"Red-whiskered Bulbul","Pycnonotus jocosus"
"Black-backed Forktail","Enicurus immaculatus"
"Greater Necklaced Laughingthrush","Pterorhinus pectoralis"
"Common Green-Magpie","Cissa chinensis"
"Greater Racket-tailed Drongo","Dicrurus paradiseus"
"Lesser Yellownape","Picus chlorolophus"
"Black-crested Bulbul","Rubigula flaviventris"
"Pin-striped Tit-Babbler","Mixornis gularis"
"Blue-throated Barbet","Psilopogon asiaticus"
"Blue Whistling-Thrush","Myophonus caeruleus"
"Chestnut-bellied Nuthatch","Sitta cinnamoventris"
"Hair-crested Drongo","Dicrurus hottentottus"
"Large Cuckooshrike","Coracina macei"
"Scarlet Minivet","Pericrocotus speciosus"
"Himalayan Bulbul","Pycnonotus leucogenys"
"White-throated Kingfisher","Halcyon smyrnensis"
"Golden-fronted Leafbird","Chloropsis aurifrons"
"Gray-headed Woodpecker","Picus canus"
"Pin-tailed Green-Pigeon","Treron apicauda"
"White-rumped Shama","Copsychus malabaricus"
"Indian Peafowl","Pavo cristatus"
"House Crow","Corvus splendens"
"Indian Roller","Coracias benghalensis"
"Rose-ringed Parakeet","Psittacula krameri"
"White-bellied Erpornis","Erpornis zantholeuca"
"Little Cormorant","Microcarbo niger"
"Pied Kingfisher","Ceryle rudis"
"Shikra","Accipiter badius"
"Barn Swallow","Hirundo rustica"
"Common Cuckoo","Cuculus canorus"
"Common Kingfisher","Alcedo atthis"
"Eurasian Jackdaw","Corvus monedula"
"European Starling","Sturnus vulgaris"
"Cinereous Tit","Parus cinereus"
"Eurasian Hoopoe","Upupa epops"
"Indian Golden Oriole","Oriolus kundoo"
"Indian Pond-Heron","Ardeola grayii"
"Slaty-headed Parakeet","Psittacula himalayana"
"Ashy Drongo","Dicrurus leucophaeus"
"Barred Cuckoo-Dove","Macropygia unchall"
"Brownish-flanked Bush Warbler","Horornis fortipes"
"Black-throated Sunbird","Aethopyga saturata"
"Blue-winged Laughingthrush","Trochalopteron squamatum"
"Blue-winged Minla","Actinodura cyanouroptera"
"Golden Babbler","Cyanoderma chrysaeum"
"Golden-throated Barbet","Psilopogon franklinii"
"Green-backed Tit","Parus monticolus"
"Great Barbet","Psilopogon virens"
"Gray-headed Canary-Flycatcher","Culicicapa ceylonensis"
"Himalayan Cuckoo","Cuculus saturatus"
"Indian Cuckoo","Cuculus micropterus"
"Large Hawk-Cuckoo","Hierococcyx sparverioides"
"Nepal Fulvetta","Alcippe nipalensis"
"Oriental Turtle-Dove","Streptopelia orientalis"
"Rufous-bellied Niltava","Niltava sundara"
"Rusty-fronted Barwing","Actinodura egertoni"
"Rufous Sibia","Heterophasia capistrata"
"Russet Sparrow","Passer cinnamomeus"
"Short-billed Minivet","Pericrocotus brevirostris"
"Small Niltava","Niltava macgrigoriae"
"Striated Bulbul","Pycnonotus striatus"
"Striated Laughingthrush","Grammatoptila striata"
"Tickell's Thrush","Turdus unicolor"
"Verditer Flycatcher","Eumyias thalassinus"
"Whiskered Yuhina","Yuhina flavicollis"
"White-throated Fantail","Rhipidura albicollis"
"Ashy Prinia","Prinia socialis"
"Baya Weaver","Ploceus philippinus"
"Bengal Bushlark","Mirafra assamica"
"Black-breasted Weaver","Ploceus benghalensis"
"Black-winged Stilt","Himantopus himantopus"
"Black Francolin","Francolinus francolinus"
"Brahminy Starling","Sturnia pagodarum"
"Eurasian Moorhen","Gallinula chloropus"
"Green Bee-eater","Merops orientalis"
"Greater Coucal","Centropus sinensis"
"Gray Francolin","Ortygornis pondicerianus"
"Gray-breasted Prinia","Prinia hodgsonii"
"Gray-throated Martin","Riparia chinensis"
"Brown Rock Chat","Oenanthe fusca"
"Indian Silverbill","Euodice malabarica"
"Indian Spot-billed Duck","Anas poecilorhyncha"
"Jungle Babbler","Argya striata"
"Laughing Dove","Streptopelia senegalensis"
"Oriental Magpie-Robin","Copsychus saularis"
"Paddyfield Pipit","Anthus rufulus"
"Pied Bushchat","Saxicola caprata"
"Plain Prinia","Prinia inornata"
"Red-wattled Lapwing","Vanellus indicus"
"Rufous Treepie","Dendrocitta vagabunda"
"Zitting Cisticola","Cisticola juncidis"
"Common Woodshrike","Tephrodornis pondicerianus"
"Puff-throated Babbler","Pellorneum ruficeps"
"Rock Pigeon","Columba livia"
"Spotted Dove","Streptopelia chinensis"
