ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
619325354,Audio,Red-whiskered Bulbul,Pycnonotus jocosus,,Dr Bipasha David,2024-04-29,2024,4,29,751,India,IN-UP-AH,Uttar Pradesh,Prayagraj,"Mirakhpur Kachhar, Uttar Pradesh, IN (25.407, 81.846)",25.4071939,81.8462552,"",,Unspecified,"","",,,,,,,S170893504,"",,,,,Pycnonotus jocosus,rewbul,Species,24315,,.00,0,,,
619324868,Audio,Red-whiskered Bulbul,Pycnonotus jocosus,,Dr Bipasha David,2024-04-30,2024,4,30,620,India,IN-UP-AH,Uttar Pradesh,Prayagraj,"Mirakhpur Kachhar, Uttar Pradesh, IN (25.407, 81.846)",25.4071939,81.8462552,"",,Unspecified,"","",,,,,,,S171067754,"",,,,,Pycnonotus jocosus,rewbul,Species,24315,,.00,0,,,
619324433,Audio,Brown-headed Barbet (Large Green Barbet),Psilopogon zeylanicus,,Dr Bipasha David,2024-04-01,2024,4,1,616,India,IN-UP-AH,Uttar Pradesh,Prayagraj,"Mirakhpur Kachhar, Uttar Pradesh, IN (25.407, 81.846)",25.4071939,81.8462552,"",,Unspecified,"","",,,,,,,S166743720,"",,,,,Psilopogon zeylanicus,brhbar1,Species,10533,,.00,0,,,
619277746,Audio,Brown Hawk-Owl,Ninox scutulata,,Adarsh Ajay,2024-04-10,2024,4,10,2006,India,IN-KL-KT,Kerala,Kottayam,"Saint Berchmans College, Changanassery",9.4512843,76.5383577,"",,Unspecified,"","",,,,,,,S168256083,"",,,,,Ninox scutulata,brnhao1,Species,9143,,.00,0,,,
619277535,Audio,Grey Junglefowl,Gallus sonneratii,,Adarsh Ajay,2024-04-22,2024,4,22,1111,India,IN-TN-TH,Tamil Nadu,Theni,Ramakkalmedu View point,9.8169909,77.2462893,"",,Unspecified,"","",,,,,,,S169824047,"",,,,,Gallus sonneratii,grejun2,Species,1569,,5.00,1,,,
619272454,Audio,White-bellied Sholakili,Sholicola albiventris,,Debjit  Mukherjee,2024-04-20,2024,4,20,1309,India,IN-KL-ID,Kerala,Idukki,Raarees Mist Resort Surrounding,10.0630164,76.9909400,"",,Unspecified,"","",,,,,,,S169411127,"",,,,Photographed by Shubojit Saha,Sholicola albiventris,whbsho3,Species,28550,,.00,0,,,
619272386,Audio,Wayanad Laughingthrush,Pterorhinus delesserti,,Debjit  Mukherjee,2024-04-20,2024,4,20,1309,India,IN-KL-ID,Kerala,Idukki,Raarees Mist Resort Surrounding,10.0630164,76.9909400,"",,Unspecified,"","",,,,,,,S169411127,"",,,,Count is at least. Photo taken by Shubojit Saha,Pterorhinus delesserti,wynlau1,Species,26322,,.00,0,,,
619271172,Audio,Eurasian Collared-Dove,Streptopelia decaocto,,Faisal Fasaludeen,2024-04-12,2024,4,12,1538,India,IN-TN-TE,Tamil Nadu,Tenkasi,"Kadayanallur, Tenkasi IN-TN 9.06992, 77.36436",9.0699240,77.3643570,"",,Unspecified,"","",,,,,,,S168221429,"",,,,,Streptopelia decaocto,eucdov,Species,2051,,.00,0,,,
619270218,Audio,Common Tailorbird,Orthotomus sutorius,,Faisal Fasaludeen,2024-04-28,2024,4,28,724,India,IN-KL-KL,Kerala,Kollam,"Thodiyoor, Kerala, IN (9.086, 76.585)",9.0864100,76.5854800,"",,Unspecified,"","",,,,,,,S170651017,"",,,,,Orthotomus sutorius,comtai1,Species,22738,,.00,0,,,
619270167,Audio,Malabar Whistling-Thrush,Myophonus horsfieldii,,Faisal Fasaludeen,2024-04-22,2024,4,22,845,India,IN-KL-MA,Kerala,Malappuram,Kakkadampoyil--Nilambur Bypass Forest Patch,11.3171484,76.1242408,"",,Unspecified,"","",,,,,,,S169752790,"",,,,,Myophonus horsfieldii,mawthr1,Species,28928,,.00,0,,,
