ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Caption,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
635666438,Audio,Malabar Grey Hornbill,Ocyceros griseus,,,Supriya Kulkarni,2025-03-31,2025,3,31,658,India,IN-GA-SG,Goa,South Goa,Tambdi Surla- Mahadev Temple and Surroundings,15.4387049,74.2515046,"",,Unspecified,"","",,,,,,,S221999980,"",,,,,Ocyceros griseus,maghor2,Species,9623,,.00,0,,,
635666321,Audio,Crimson-backed Sunbird (Small Sunbird),Leptocoma minima,,,Supriya Kulkarni,2025-03-31,2025,3,31,658,India,IN-GA-SG,Goa,South Goa,Tambdi Surla- Mahadev Temple and Surroundings,15.4387049,74.2515046,"",,Unspecified,"","",,,,,,,S221999980,"",,,,,Leptocoma minima,crbsun2,Species,30006,,.00,0,,,
635308802,Audio,Malabar Grey Hornbill,Ocyceros griseus,,,Usha Nataraj,2025-03-23,2025,3,23,633,India,IN-KA-UD,Karnataka,Udupi,"Parari, Manipal",13.3819795,74.7810595,"",,Unspecified,"","",,,,,,,S220140329,"",,,,,Ocyceros griseus,maghor2,Species,9623,,.00,0,,,
635002274,Audio,Jungle Owlet,Glaucidium radiatum,,,Usha Nataraj,2025-03-02,2025,3,2,647,India,IN-KA-UD,Karnataka,Udupi,Golikatte,13.3759047,74.8150787,"",,Unspecified,"","",,,,,,,S216151440,"",,,,,Glaucidium radiatum,junowl1,Species,8974,,.00,0,,,
634795732,Audio,"Jerdon's Nightjar",Caprimulgus atripennis,,,Kavitha Bharathi,2025-03-15,2025,3,15,1941,India,IN-TN-NG,Tamil Nadu,Nagapattinam,Ramar Patham (இராமர் பாதம்),10.3321453,79.8424530,"",Call,Unspecified,"","",,,,,,,S218665861,"",,,,Identified by sound record,Caprimulgus atripennis,jernig1,Species,3621,,.00,0,"",,
634795726,Audio,"Jerdon's Nightjar",Caprimulgus atripennis,,,Kavitha Bharathi,2025-03-15,2025,3,15,1941,India,IN-TN-NG,Tamil Nadu,Nagapattinam,Ramar Patham (இராமர் பாதம்),10.3321453,79.8424530,"",Call,Unspecified,"","",,,,,,,S218665861,"",,,,Identified by sound record,Caprimulgus atripennis,jernig1,Species,3621,,.00,0,"",,
634790302,Audio,Acrocephalus warbler sp.,Acrocephalus sp.,,,Pampa Mistri,2025-03-01,2025,3,1,643,India,IN-WB-PS,West Bengal,South 24 Parganas,"Ramkrishnapur Road, Bharu Ramkrishnapur, West Bengal, IN (22.336, 88.38)",22.3364900,88.3799433,"",,Unspecified,"","",,,,,,,S215936741,"",,,,Photographed. Have to review. May be a Large-billed Reed Warbler. It was fanning its tail frequently and has a large bill.,Acrocephalus sp.,acroce1,Spuh,23543,,.00,0,,,
634706661,Audio,Alexandrine Parakeet,Psittacula eupatria,,,Abhinand David,2025-03-18,2025,3,18,634,India,IN-KA-BN,Karnataka,Bengaluru Urban,Geetanjali Layout,12.9756494,77.6548148,"",,Unspecified,"","",,,,,,,S219155384,"",,,,,Psittacula eupatria,alepar2,Species,12225,,.00,0,,,
634572646,Audio,Rufous-necked Laughingthrush,Pterorhinus ruficollis,,,Ranjana Prasad,2025-03-20,2025,3,20,555,India,IN-TR-WT,Tripura,West Tripura,"Debendrachandranagar, Tripura, IN (23.923, 91.324)",23.9234629,91.3240344,"",,Unspecified,"","",,,,,,,S220749982,"",,,,,Pterorhinus ruficollis,runlau1,Species,26540,,.00,0,,,
634400218,Audio,White-breasted Waterhen,Amaurornis phoenicurus,,,Lim Ying Hien,2025-03-31,2025,3,31,636,India,IN-AN-AS,Andaman and Nicobar Islands,South Andaman,Kalatang,11.7974880,92.7176571,"",,Unspecified,"","",,,,,,,S222673542,"",,,,,Amaurornis phoenicurus,whbwat1,Species,5495,,.00,0,,,
634399889,Audio,Andaman Nightjar,Caprimulgus andamanicus,,,Lim Ying Hien,2025-03-31,2025,3,31,1738,India,IN-AN-AS,Andaman and Nicobar Islands,South Andaman,Burmanallah,11.5549197,92.7309649,"",,Unspecified,"","",,,,,,,S222673450,"",,,,,Caprimulgus andamanicus,andnig1,Species,3619,,.00,0,,,
634325785,Audio,Brown Shrike,Lanius cristatus,,,LIPI DAS,2025-03-25,2025,3,25,1640,India,IN-TR-UN,Tripura,Unakoti,"Sukanta Nagar, Railway Colony,Tripura, IN (24.148, 92.033)",24.1415599,92.0312798,"",,Unspecified,"","",,,,,,,S220665815,"",,,,,Lanius cristatus,brnshr,Species,20823,,4.00,1,,,
