"COMMON.NAME","SCIENTIFIC.NAME"
"Asian Koel","Eudynamys scolopaceus"
"Indian Cuckoo","Cuculus micropterus"
"Asian Palm Swift","Cypsiurus balasiensis"
"Lesser Whistling-Duck","Dendrocygna javanica"
"Spotted Dove","Spilopelia chinensis"
"Rufous-throated Wren-Babbler","Spelaeornis caudatus"
"Russet Bush Warbler","Locustella mandelli"
"Blue-eared Barbet","Psilopogon cyanotis"
"Red-breasted Parakeet","Psittacula alexandri"
"Swamp Francolin","Ortygornis gularis"
"Ashy Prinia","Prinia socialis"
"House Crow","Corvus splendens"
"House Sparrow","Passer domesticus"
"Brown Fish-Owl","Ketupa zeylonensis"
"Jungle Prinia","Prinia sylvatica"
"Black Kite","Milvus migrans"
"Pied Bushchat","Saxicola caprata"
"White-browed Bulbul","Pycnonotus luteolus"
"Common Myna","Acridotheres tristis"
"Western Yellow Wagtail","Motacilla flava"
"Greater Coucal","Centropus sinensis"
"Indian Robin","Copsychus fulicatus"
"Indian Golden Oriole","Oriolus kundoo"
"Red-wattled Lapwing","Vanellus indicus"
"Shikra","Accipiter badius"
"Dark-fronted Babbler","Dumetia atriceps"
"Orange-headed Thrush","Geokichla citrina"
"Yellow-browed Bulbul","Acritillas indica"
"Indian Pitta","Pitta brachyura"
"Little Tern","Sternula albifrons"
"Eastern Yellow Wagtail","Motacilla tschutschensis"
"Eurasian Curlew","Numenius arquata"
"Purple Sunbird","Cinnyris asiaticus"
"Red-vented Bulbul","Pycnonotus cafer"
"Rose-ringed Parakeet","Psittacula krameri"
"Red-whiskered Bulbul","Pycnonotus jocosus"
"Alexandrine Parakeet","Psittacula eupatria"
"White-throated Kingfisher","Halcyon smyrnensis"
"Blyth's Reed Warbler","Acrocephalus dumetorum"
"Common Tailorbird","Orthotomus sutorius"
"Jungle Myna","Acridotheres fuscus"
"Rufous Woodpecker","Micropternus brachyurus"
"Ashy Woodswallow","Artamus fuscus"
"Black Drongo","Dicrurus macrocercus"
"Black-hooded Oriole","Oriolus xanthornus"
"Common Hawk-Cuckoo","Hierococcyx varius"
"Jerdon's Bushlark","Mirafra affinis"
"Jungle Babbler","Argya striata"
"Oriental Magpie-Robin","Copsychus saularis"
"Plain Prinia","Prinia inornata"
"Purple-rumped Sunbird","Leptocoma zeylonica"
"Red Avadavat","Amandava amandava"
"White-breasted Waterhen","Amaurornis phoenicurus"
"Zitting Cisticola","Cisticola juncidis"
"Indian Peafowl","Pavo cristatus"
"Coppersmith Barbet","Psilopogon haemacephalus"
"Eurasian Collared-Dove","Streptopelia decaocto"
"Spotted Owlet","Athene brama"
"Black-winged Stilt","Himantopus himantopus"
"Little Ringed Plover","Charadrius dubius"
"River Tern","Sterna aurantia"
"Whiskered Tern","Chlidonias hybrida"
"Wood Sandpiper","Tringa glareola"
"Green Shrike-Babbler","Pteruthius xanthochlorus"
"Black Redstart","Phoenicurus ochruros"
"Tickell's Blue Flycatcher","Cyornis tickelliae"
"Indian Paradise-Flycatcher","Terpsiphone paradisi"
"Black-headed Cuckooshrike","Lalage melanoptera"
"Blue-throated Barbet","Psilopogon asiaticus"
"Chestnut-bellied Rock-Thrush","Monticola rufiventris"
"Great Barbet","Psilopogon virens"
"Black-throated Prinia","Prinia atrogularis"
"Rusty-cheeked Scimitar-Babbler","Erythrogenys erythrogenys"
"Stork-billed Kingfisher","Pelargopsis capensis"
"Yellow-browed Warbler","Phylloscopus inornatus"
"Rufous Treepie","Dendrocitta vagabunda"
"White-throated Fantail","Rhipidura albicollis"
"Large-billed Crow","Corvus macrorhynchos"
"Yellow-bellied Prinia","Prinia flaviventris"
