"COMMON.NAME","freq"
"House Crow",0.561490683229814
"Common Myna",0.539130434782609
"Rose-ringed Parakeet",0.436645962732919
"Black Drongo",0.413664596273292
"Large-billed Crow",0.359627329192547
"Red-vented Bulbul",0.352795031055901
"Yellow-billed Babbler",0.318633540372671
"Indian Pond-Heron",0.303726708074534
"White-throated Kingfisher",0.287577639751553
"Cattle Egret",0.275155279503106
"Purple Sunbird",0.263975155279503
"Common Tailorbird",0.254658385093168
"Asian Palm-Swift",0.251552795031056
"Spotted Dove",0.232298136645963
"House Sparrow",0.215527950310559
"Indian Robin",0.208074534161491
"Indian Roller",0.208074534161491
"Purple-rumped Sunbird",0.207453416149068
"Greater Coucal",0.205590062111801
"Asian Koel",0.195652173913043
"Rock Pigeon",0.193167701863354
"Little Egret",0.181987577639752
"Red-wattled Lapwing",0.175155279503106
"Rufous Treepie",0.162732919254658
"Little Cormorant",0.160248447204969
"Indian Peafowl",0.151552795031056
"Green Bee-eater",0.149689440993789
"Ashy Prinia",0.149068322981366
"Blue-tailed Bee-eater",0.132919254658385
"Pied Bushchat",0.132919254658385
"Blyth's Reed Warbler",0.117391304347826
"Black Kite",0.114906832298137
"Gray Francolin",0.114285714285714
"Shikra",0.114285714285714
"Coppersmith Barbet",0.112422360248447
"White-browed Bulbul",0.107453416149068
"Oriental Magpie-Robin",0.105590062111801
"White-breasted Waterhen",0.104968944099379
"Barn Swallow",0.0993788819875776
"Common Hawk-Cuckoo",0.0956521739130435
"Brahminy Kite",0.093167701863354
"Little Grebe",0.0919254658385093
"White-browed Wagtail",0.0881987577639751
"Intermediate Egret",0.0832298136645963
"Plain Prinia",0.0826086956521739
"Black-rumped Flameback",0.0801242236024845
"Gray Heron",0.0708074534161491
"Asian Openbill",0.0695652173913043
"Common Sandpiper",0.0695652173913043
"Spotted Owlet",0.068944099378882
"Eurasian Coot",0.0683229813664596
"Brahminy Starling",0.0677018633540373
"Indian Spot-billed Duck",0.0652173913043478
"Indian Golden Oriole",0.0645962732919255
"Common Kingfisher",0.0633540372670807
"Purple Heron",0.0614906832298137
"Gray-headed Swamphen",0.0596273291925466
"Common Iora",0.0590062111801242
"Eurasian Moorhen",0.0583850931677019
"Scaly-breasted Munia",0.0583850931677019
"Brown Shrike",0.0577639751552795
"Laughing Dove",0.0577639751552795
"Great Egret",0.0571428571428571
"Wood Sandpiper",0.0571428571428571
