"COMMON.NAME","freq"
"Common Myna",0.580720092915215
"House Crow",0.563298490127758
"Black Drongo",0.451800232288037
"Rose-ringed Parakeet",0.434378629500581
"Red-vented Bulbul",0.384436701509872
"Yellow-billed Babbler",0.379790940766551
"Common Tailorbird",0.363530778164925
"Large-billed Crow",0.353658536585366
"White-throated Kingfisher",0.342624854819977
"Cattle Egret",0.335656213704994
"Indian Pond-Heron",0.301393728222997
"Asian Palm-Swift",0.281068524970964
"Asian Koel",0.274099883855981
"Rock Pigeon",0.271777003484321
"Greater Coucal",0.26945412311266
"Purple Sunbird",0.265969802555168
"Barn Swallow",0.256678281068525
"Purple-rumped Sunbird",0.240998838559814
"Rufous Treepie",0.226480836236934
"Indian Roller",0.216608594657375
"Spotted Dove",0.213124274099884
"Little Egret",0.211382113821138
"Red-wattled Lapwing",0.211382113821138
"Ashy Prinia",0.198606271777003
"Little Cormorant",0.180603948896632
"Blue-tailed Bee-eater",0.178861788617886
"Blyth's Reed Warbler",0.178281068524971
"White-browed Bulbul",0.167247386759582
"Indian Peafowl",0.16144018583043
"Indian Robin",0.16144018583043
"Common Hawk-Cuckoo",0.159117305458769
"Green Bee-eater",0.159117305458769
"Gray Francolin",0.155052264808362
"Plain Prinia",0.137049941927991
"House Sparrow",0.133565621370499
"Shikra",0.131242740998839
"White-breasted Waterhen",0.130081300813008
"Pied Bushchat",0.124274099883856
"Oriental Magpie-Robin",0.119047619047619
"White-browed Wagtail",0.108594657375145
"Black Kite",0.103948896631823
"Black-rumped Flameback",0.100464576074332
"Eurasian Coot",0.0975609756097561
"Little Grebe",0.0975609756097561
"Brahminy Kite",0.0917537746806039
"Pale-billed Flowerpecker",0.0882694541231127
"Indian Golden Oriole",0.0876887340301974
"Indian Spot-billed Duck",0.0876887340301974
"Asian Openbill",0.0871080139372822
"Intermediate Egret",0.0847851335656214
"Laughing Dove",0.0818815331010453
"Brahminy Starling",0.078397212543554
"Great Egret",0.078397212543554
"Coppersmith Barbet",0.0766550522648084
"Jerdon's Bushlark",0.0760743321718931
"Common Kingfisher",0.0749128919860627
"Gray Heron",0.0731707317073171
"Spotted Owlet",0.0731707317073171
"Brown Shrike",0.0708478513356562
"Gray-headed Swamphen",0.0708478513356562
"Scaly-breasted Munia",0.0696864111498258
"Zitting Cisticola",0.0662020905923345
"Indian Paradise-Flycatcher",0.0644599303135888
"Red-rumped Swallow",0.0644599303135888
"Purple Heron",0.0632984901277584
"Wood Sandpiper",0.0627177700348432
"Eurasian Hoopoe",0.062137049941928
"Eurasian Moorhen",0.0615563298490128
"Spot-billed Pelican",0.0609756097560976
"Common Iora",0.0603948896631823
"Indian Cormorant",0.0603948896631823
"Paddyfield Pipit",0.0580720092915215
"Pied Kingfisher",0.0574912891986063
"Eurasian Collared-Dove",0.0569105691056911
"Red-whiskered Bulbul",0.0569105691056911
"Painted Stork",0.0563298490127758
"Pied Cuckoo",0.0563298490127758
"Indian Silverbill",0.0551684088269454
"Oriental Darter",0.0499419279907085
"Pheasant-tailed Jacana",0.0493612078977933
"Whiskered Tern",0.0470383275261324
"Bay-backed Shrike",0.0464576074332172
"Black-winged Stilt",0.045876887340302
"Common Sandpiper",0.0452961672473868
"Loten's Sunbird",0.0418118466898955
"Black-headed Ibis",0.0412311265969803
"Black-winged Kite",0.040650406504065
"White-rumped Munia",0.040650406504065
"Blue-faced Malkoha",0.0394889663182346
"Glossy Ibis",0.0389082462253194
"Tricolored Munia",0.0389082462253194
"Jungle Prinia",0.0365853658536585
"Large Gray Babbler",0.0360046457607433
"bird sp.",0.0319396051103368
"Black-crowned Night-Heron",0.0319396051103368
"Western Yellow Wagtail",0.0313588850174216
"Ashy Woodswallow",0.0301974448315912
"Common Woodshrike",0.0290360046457607
"Northern Pintail",0.0290360046457607
"Garganey",0.0284552845528455
"Jungle Myna",0.0249709639953542
"Caspian Tern",0.0238095238095238
"white egret sp.",0.0238095238095238
"Booted Warbler",0.0232288037166086
"sunbird sp.",0.0232288037166086
"Great Cormorant",0.0226480836236934
"Fulvous Whistling-Duck",0.021486643437863
"Little Swift",0.021486643437863
"Oriental Honey-buzzard",0.021486643437863
"Baya Weaver",0.0209059233449477
"Lesser Whistling-Duck",0.0209059233449477
"Rosy Starling",0.0209059233449477
"crow sp.",0.0203252032520325
"Northern Shoveler",0.0203252032520325
"Booted Eagle",0.0180023228803717
"Clamorous Reed Warbler",0.0180023228803717
"Green Sandpiper",0.0180023228803717
"Small Minivet",0.0180023228803717
"Yellow Bittern",0.0174216027874564
"Bronze-winged Jacana",0.0168408826945412
"Greenish Warbler",0.0168408826945412
"White-cheeked Barbet",0.0168408826945412
"Ashy Drongo",0.016260162601626
