"DISTRICT","daym","lists","birders"
"Ariyalur",16,13,1
"Ariyalur",17,8,2
"Ariyalur",18,14,2
"Chengalpattu",16,56,9
"Chengalpattu",17,11,7
"Chengalpattu",18,7,6
"Chengalpattu",19,58,12
"Chennai",16,15,12
"Chennai",17,14,13
"Chennai",18,27,20
"Chennai",19,22,18
"Coimbatore",16,111,20
"Coimbatore",17,96,22
"Coimbatore",18,89,12
"Coimbatore",19,52,13
"Cuddalore",18,19,7
"Cuddalore",19,26,5
"Dharmapuri",16,30,3
"Dharmapuri",17,51,3
"Dharmapuri",18,74,6
"Dharmapuri",19,1,1
"Dindigul",16,13,5
"Dindigul",17,2,2
"Dindigul",18,2,2
"Dindigul",19,3,2
"Erode",16,11,5
"Erode",17,15,2
"Erode",18,20,10
"Erode",19,21,7
"Idukki",19,3,2
"Kallakurichi",19,2,1
"Kancheepuram",16,10,4
"Kancheepuram",17,1,1
"Kancheepuram",19,2,2
"Kanniyakumari",16,4,3
"Kanniyakumari",17,2,2
"Kanniyakumari",18,6,2
"Kanniyakumari",19,1,1
"Karaikal",17,1,1
"Karur",18,1,1
"Karur",19,8,2
"Krishnagiri",17,4,1
"Madurai",16,15,6
"Madurai",17,15,10
"Madurai",18,5,5
"Madurai",19,10,7
"Nagapattinam",16,18,3
"Nagapattinam",17,15,4
"Nagapattinam",18,7,2
"Nagapattinam",19,12,2
"Namakkal",17,2,1
"Perambalur",19,4,1
"Puducherry",16,40,5
"Puducherry",17,24,4
"Puducherry",18,81,5
"Puducherry",19,44,4
"Pudukkottai",16,9,3
"Pudukkottai",17,2,2
"Pudukkottai",18,2,1
"Pudukkottai",19,1,1
"Ramanathapuram",16,22,1
"Ramanathapuram",17,9,1
"Ramanathapuram",18,2,1
"Ranipet",16,2,2
"Ranipet",17,2,2
"Ranipet",18,2,1
"Ranipet",19,4,2
"Salem",16,189,17
"Salem",17,137,12
"Salem",18,104,16
"Salem",19,124,13
"Sivaganga",16,4,1
"Sivaganga",17,3,1
"Sivaganga",18,9,1
"Sivaganga",19,6,3
"Tenkasi",17,2,1
"Tenkasi",18,3,2
"Thanjavur",16,10,6
"Thanjavur",17,10,4
"Thanjavur",18,10,4
"The Nilgiris",16,19,10
"The Nilgiris",17,26,6
"The Nilgiris",18,12,4
"The Nilgiris",19,2,2
"Theni",16,3,2
"Theni",17,4,1
"Theni",18,3,1
"Theni",19,4,3
"Thiruvallur",16,5,3
"Thiruvallur",17,1,1
"Thiruvallur",18,35,4
"Thiruvallur",19,20,2
"Thiruvarur",16,4,3
"Thiruvarur",17,1,1
"Thiruvarur",18,2,1
"Thiruvarur",19,2,2
"Thoothukkudi",16,6,3
"Thoothukkudi",17,6,3
"Thoothukkudi",18,9,3
"Thoothukkudi",19,4,2
"Tiruchirappalli",16,11,4
"Tiruchirappalli",17,10,3
"Tiruchirappalli",18,8,5
"Tiruchirappalli",19,6,4
"Tirunelveli",16,6,2
"Tirunelveli",17,3,1
"Tirunelveli",18,8,2
"Tirunelveli",19,1,1
"Tirupathur",17,1,1
"Tirupathur",19,2,1
"Tiruppur",16,8,4
"Tiruppur",17,10,3
"Tiruppur",18,12,7
"Tiruppur",19,6,5
"Tiruvannamalai",16,5,3
"Tiruvannamalai",17,2,2
"Tiruvannamalai",18,5,5
"Tiruvannamalai",19,1,1
"Vellore",17,3,2
"Vellore",18,2,1
"Vellore",19,2,1
"Viluppuram",16,79,9
"Viluppuram",17,85,4
"Viluppuram",18,32,6
"Viluppuram",19,9,3
"Virudhunagar",16,46,9
"Virudhunagar",17,23,10
"Virudhunagar",18,7,6
"Virudhunagar",19,15,7
NA,17,5,1
