"DISTRICT","lists"
"Coimbatore",476
"Viluppuram",332
"Dharmapuri",238
"Puducherry",221
"Chennai",182
"Tiruppur",166
"Salem",136
"Dindigul",84
"Ariyalur",82
"Chengalpattu",64
"Kanniyakumari",56
"Tiruchirappalli",56
"Cuddalore",54
"Thanjavur",53
"Thiruvallur",50
"Kancheepuram",49
"Theni",38
"Pudukkottai",37
"Nagapattinam",29
"Namakkal",27
"Madurai",26
"Sivaganga",25
"Virudhunagar",20
"Kallakurichi",16
"Tiruvannamalai",16
"The Nilgiris",14
"Thoothukkudi",11
NA,9
"Ranipet",8
"Tirunelveli",8
"Erode",5
"Karur",5
"Thiruvarur",5
"Karaikal",4
"Krishnagiri",4
"Tenkasi",4
"Ramanathapuram",3
"Vellore",3
"Perambalur",2
"Tirupathur",1
