"COMMON.NAME","SCIENTIFIC.NAME"
"Black-headed Cuckooshrike","Lalage melanoptera"
"White-browed Bulbul","Pycnonotus luteolus"
"Sykes's Warbler","Iduna rama"
"Indian Silverbill","Euodice malabarica"
"Green Bee-eater","Merops orientalis"
"Common Myna","Acridotheres tristis"
"Black Drongo","Dicrurus macrocercus"
"Indian Robin","Copsychus fulicatus"
"Rufous Treepie","Dendrocitta vagabunda"
"Red-vented Bulbul","Pycnonotus cafer"
"Gray Francolin","Francolinus pondicerianus"
"Indian Peafowl","Pavo cristatus"
"Spotted Dove","Streptopelia chinensis"
"Jungle Prinia","Prinia sylvatica"
"Large Gray Babbler","Turdoides malcolmi"
"Greater Coucal","Centropus sinensis"
"Eurasian Hoopoe","Upupa epops"
"Booted Warbler","Iduna caligata"
"Black Eagle","Ictinaetus malaiensis"
"Asian Koel","Eudynamys scolopaceus"
"Asian Palm-Swift","Cypsiurus balasiensis"
"Bay-backed Shrike","Lanius vittatus"
"Cattle Egret","Bubulcus ibis"
"Pied Bushchat","Saxicola caprata"
"Zitting Cisticola","Cisticola juncidis"
"Barn Swallow","Hirundo rustica"
"Purple Sunbird","Cinnyris asiaticus"
"Eurasian Kestrel","Falco tinnunculus"
"House Sparrow","Passer domesticus"
"Laughing Dove","Streptopelia senegalensis"
"Ashy-crowned Sparrow-Lark","Eremopterix griseus"
"Jerdon's Bushlark","Mirafra affinis"
"Red-rumped Swallow","Cecropis daurica"
"Yellow-billed Babbler","Turdoides affinis"
"Spotted Owlet","Athene brama"
"White-bellied Drongo","Dicrurus caerulescens"
"Indian Nightjar","Caprimulgus asiaticus"
"Indian Paradise-Flycatcher","Terpsiphone paradisi"
"Little Cormorant","Microcarbo niger"
"Indian Roller","Coracias benghalensis"
"Little Grebe","Tachybaptus ruficollis"
"Little Egret","Egretta garzetta"
"Blue-tailed Bee-eater","Merops philippinus"
"Blyth's Reed Warbler","Acrocephalus dumetorum"
"White-throated Kingfisher","Halcyon smyrnensis"
"Red-wattled Lapwing","Vanellus indicus"
"House Crow","Corvus splendens"
"Purple Heron","Ardea purpurea"
"Indian Pond-Heron","Ardeola grayii"
"Pied Cuckoo","Clamator jacobinus"
"Glossy Ibis","Plegadis falcinellus"
"Shikra","Accipiter badius"
"Brown Shrike","Lanius cristatus"
"Wood Sandpiper","Tringa glareola"
"Ashy Prinia","Prinia socialis"
"Great Egret","Ardea alba"
"Oriental Darter","Anhinga melanogaster"
"Gray Heron","Ardea cinerea"
"Common Tailorbird","Orthotomus sutorius"
"Painted Stork","Mycteria leucocephala"
"Purple-rumped Sunbird","Leptocoma zeylonica"
"Large-billed Crow","Corvus macrorhynchos"
"Asian Openbill","Anastomus oscitans"
"Spot-billed Pelican","Pelecanus philippensis"
"Intermediate Egret","Ardea intermedia"
"Whiskered Tern","Chlidonias hybrida"
"Plain Prinia","Prinia inornata"
"Rose-ringed Parakeet","Psittacula krameri"
"Common Iora","Aegithina tiphia"
"Eurasian Coot","Fulica atra"
"Gray-headed Swamphen","Porphyrio poliocephalus"
"Eurasian Moorhen","Gallinula chloropus"
"Garganey","Spatula querquedula"
"Pheasant-tailed Jacana","Hydrophasianus chirurgus"
"Black-crowned Night-Heron","Nycticorax nycticorax"
"Indian Thick-knee","Burhinus indicus"
"Common Snipe","Gallinago gallinago"
"Green Sandpiper","Tringa ochropus"
"Black-winged Kite","Elanus caeruleus"
"Gull-billed Tern","Gelochelidon nilotica"
"Paddyfield Pipit","Anthus rufulus"
"Little Stint","Calidris minuta"
"Indian Spot-billed Duck","Anas poecilorhyncha"
"Western Yellow Wagtail","Motacilla flava"
"Temminck's Stint","Calidris temminckii"
"Common Greenshank","Tringa nebularia"
"Eurasian Marsh-Harrier","Circus aeruginosus"
"Tricolored Munia","Lonchura malacca"
"Black-winged Stilt","Himantopus himantopus"
"Northern Shoveler","Spatula clypeata"
"Northern Pintail","Anas acuta"
"Citrine Wagtail","Motacilla citreola"
"Greater Spotted Eagle","Clanga clanga"
"Gray-headed Lapwing","Vanellus cinereus"
"Marsh Sandpiper","Tringa stagnatilis"
"Eurasian Wigeon","Mareca penelope"
"Oriental Magpie-Robin","Copsychus saularis"
"Scaly-breasted Munia","Lonchura punctulata"
"Coppersmith Barbet","Psilopogon haemacephalus"
"Loten's Sunbird","Cinnyris lotenius"
"Pale-billed Flowerpecker","Dicaeum erythrorhynchos"
"Brahminy Starling","Sturnia pagodarum"
"Indian Golden Oriole","Oriolus kundoo"
"Gray-necked Bunting","Emberiza buchanani"
"White-tailed Iora","Aegithina nigrolutea"
"White-eyed Buzzard","Butastur teesa"
"Oriental Honey-buzzard","Pernis ptilorhynchus"
"Booted Eagle","Hieraaetus pennatus"
"Blue-faced Malkoha","Phaenicophaeus viridirostris"
"Streak-throated Swallow","Petrochelidon fluvicola"
"European Bee-eater","Merops apiaster"
"Little Swift","Apus affinis"
"Alpine Swift","Apus melba"
"Common Hawk-Cuckoo","Hierococcyx varius"
"Yellow-throated Sparrow","Gymnoris xanthocollis"
"Yellow-wattled Lapwing","Vanellus malabaricus"
"White-browed Wagtail","Motacilla maderaspatensis"
"Ashy Woodswallow","Artamus fuscus"
"Gray Wagtail","Motacilla cinerea"
"Crested Serpent-Eagle","Spilornis cheela"
"Tickell's Blue Flycatcher","Cyornis tickelliae"
"Puff-throated Babbler","Pellorneum ruficeps"
"Malabar Parakeet","Psittacula columboides"
"Ashy Drongo","Dicrurus leucophaeus"
"Brown-capped Woodpecker","Yungipicus nanus"
