"COMMON.NAME","region","freq"
"Brown Shrike","A&N",0.904761904761905
"White-throated Kingfisher","A&N",0.857142857142857
"Red Collared-Dove","A&N",0.80952380952381
"Red-whiskered Bulbul","A&N",0.761904761904762
"Common Myna","A&N",0.666666666666667
"Red-vented Bulbul","Central",0.609366135346566
"Green Bee-eater","Central",0.534065304532409
"Black Drongo","Central",0.519355122185247
"White-throated Kingfisher","Central",0.473624271156145
"Indian Pond-Heron","Central",0.413239534308358
"Red-vented Bulbul","East",0.596473912187655
"Spotted Dove","East",0.556658140006264
"Common Myna","East",0.500968098838281
"Black Drongo","East",0.448378388711807
"House Crow","East",0.436480669854149
"Blue Whistling-Thrush","Himalayas",0.40484288584876
"Himalayan Bulbul","Himalayas",0.395977630523625
"Large-billed Crow","Himalayas",0.395460634513711
"Rock Pigeon","Himalayas",0.390474650178412
"Red-vented Bulbul","Himalayas",0.377647612682495
"Rock Pigeon","North",0.720129112932711
"House Crow","North",0.665979239817321
"Common Myna","North",0.630902351854376
"Rose-ringed Parakeet","North",0.610774158375358
"Black Kite","North",0.576446625172262
"House Crow","South",0.454330020550085
"Common Myna","South",0.439749371746134
"Black Drongo","South",0.418925338922549
"White-throated Kingfisher","South",0.377495870276401
"Indian Pond-Heron","South",0.364890092492168
"Red-vented Bulbul","West",0.642360388033369
"Rock Pigeon","West",0.554550483304222
"Black Drongo","West",0.533961354918484
"Green Bee-eater","West",0.514793489439551
"Rose-ringed Parakeet","West",0.488780502758569
