"COMMON.NAME","SCIENTIFIC.NAME"
"Garganey","Spatula querquedula"
"Gray-headed Lapwing","Vanellus cinereus"
"Dusky Eagle-Owl","Bubo coromandus"
"White-browed Wagtail","Motacilla maderaspatensis"
"Booted Warbler","Iduna caligata"
"Lesser Black-backed Gull","Larus fuscus"
"Ruff","Calidris pugnax"
"Large-billed Crow","Corvus macrorhynchos"
"Red-vented Bulbul","Pycnonotus cafer"
"House Crow","Corvus splendens"
"Indian Cormorant","Phalacrocorax fuscicollis"
"Rose-ringed Parakeet","Psittacula krameri"
"Rosy Starling","Pastor roseus"
"Rufous Treepie","Dendrocitta vagabunda"
"Gray Heron","Ardea cinerea"
"Indian Paradise-Flycatcher","Terpsiphone paradisi"
"House Sparrow","Passer domesticus"
"Green Bee-eater","Merops orientalis"
"Indian Pond-Heron","Ardeola grayii"
"Asian Pied Starling","Gracupica contra"
"Glossy Ibis","Plegadis falcinellus"
"Asian Koel","Eudynamys scolopaceus"
"Bank Myna","Acridotheres ginginianus"
"Barn Swallow","Hirundo rustica"
"Gray-hooded Warbler","Phylloscopus xanthoschistos"
"Black-rumped Flameback","Dinopium benghalense"
"Indian Roller","Coracias benghalensis"
"Ashy Prinia","Prinia socialis"
"Plain Prinia","Prinia inornata"
"Small Minivet","Pericrocotus cinnamomeus"
"Scaly-breasted Munia","Lonchura punctulata"
"Striated Laughingthrush","Grammatoptila striata"
"Cattle Egret","Bubulcus ibis"
"Black Kite","Milvus migrans"
"Rock Bunting","Emberiza cia"
"Gray Francolin","Francolinus pondicerianus"
"Blyth's Reed Warbler","Acrocephalus dumetorum"
"Great Cormorant","Phalacrocorax carbo"
"Gray Bushchat","Saxicola ferreus"
"Spotted Owlet","Athene brama"
"Long-tailed Shrike","Lanius schach"
"Little Grebe","Tachybaptus ruficollis"
"White-cheeked Barbet","Psilopogon viridis"
"White-breasted Waterhen","Amaurornis phoenicurus"
"White Wagtail","Motacilla alba"
"Brown Shrike","Lanius cristatus"
"Brahminy Kite","Haliastur indus"
