"daym","COUNTY.CODE","lists","birders"
4,"IN-NL-KI",62,9
5,"IN-NL-KI",55,8
5,"IN-NL-DI",32,14
7,"IN-NL-DI",29,13
7,"IN-NL-PH",24,6
4,"IN-NL-KO",21,6
5,"IN-NL-WO",20,5
6,"IN-NL-WO",18,5
7,"IN-NL-TU",18,2
7,"IN-NL-KI",17,9
6,"IN-NL-KI",16,6
4,"IN-NL-PH",13,6
6,"IN-NL-PH",12,9
4,"IN-NL-DI",10,5
5,"IN-NL-PH",10,6
6,"IN-NL-DI",9,3
7,"IN-NL-KO",9,8
5,"IN-NL-KO",7,6
7,"IN-NL-WO",6,3
4,"IN-NL-WO",3,2
5,"IN-NL-ZU",3,3
7,"IN-NL-MK",2,1
5,"IN-NL-LO",1,1
5,"IN-NL-PE",1,1
5,"IN-NL-TU",1,1
6,"IN-NL-KO",1,1
6,"IN-NL-MK",1,1
6,"IN-NL-MN",1,1
