"GLOBAL.UNIQUE.IDENTIFIER","CATEGORY","COMMON.NAME","SCIENTIFIC.NAME","OBSERVATION.COUNT","STATE","COUNTY","LOCALITY","LOCALITY.ID","LOCALITY.TYPE","LATITUDE","LONGITUDE","TIME.OBSERVATIONS.STARTED","OBSERVER.ID","SAMPLING.EVENT.IDENTIFIER","PROTOCOL.TYPE","DURATION.MINUTES","EFFORT.DISTANCE.KM","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","GROUP.IDENTIFIER","HAS.MEDIA","APPROVED","REVIEWED","group.id","month","day","daym","cyear","year"
"URN:CornellLabOfOrnithology:EBIRD:OBS406018797","species","Brown Shrike","Lanius cristatus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"14:00:00","obsr672706","S29836338","Incidental",NA,NA,2,0,NA,0,1,0,"S29836338",12,361,27,2014,2014
"URN:CornellLabOfOrnithology:EBIRD:OBS405986070","species","House Sparrow","Passer domesticus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"14:00:00","obsr672706","S29836338","Incidental",NA,NA,2,0,NA,0,1,0,"S29836338",12,361,27,2014,2014
"URN:CornellLabOfOrnithology:EBIRD:OBS384435634","species","Indian Pied Starling","Gracupica contra","4","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"16:10:00","obsr672706","S28447801","Stationary",30,NA,1,1,NA,0,1,0,"S28447801",10,299,26,2015,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS384435637","species","Chestnut-tailed Starling","Sturnia malabarica","6","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"16:10:00","obsr672706","S28447801","Stationary",30,NA,1,1,NA,0,1,0,"S28447801",10,299,26,2015,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS384435635","species","Jungle Myna","Acridotheres fuscus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"16:10:00","obsr672706","S28447801","Stationary",30,NA,1,1,NA,0,1,0,"S28447801",10,299,26,2015,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS384435636","species","Purple Sunbird","Cinnyris asiaticus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"16:10:00","obsr672706","S28447801","Stationary",30,NA,1,1,NA,0,1,0,"S28447801",10,299,26,2015,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS384435638","species","Rose-ringed Parakeet","Psittacula krameri","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"16:10:00","obsr672706","S28447801","Stationary",30,NA,1,1,NA,0,1,0,"S28447801",10,299,26,2015,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS384737773","species","Indian Pied Starling","Gracupica contra","4","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"14:58:00","obsr672706","S28470011","Stationary",82,NA,1,1,NA,0,1,0,"S28470011",11,319,15,2015,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS368093205","species","Indian Pied Starling","Gracupica contra","5","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"14:59:00","obsr672706","S27076901","Stationary",80,NA,1,0,NA,0,1,0,"S27076901",11,319,15,2015,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS384737774","species","Blue-throated Barbet","Psilopogon asiaticus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"14:58:00","obsr672706","S28470011","Stationary",82,NA,1,1,NA,0,1,0,"S28470011",11,319,15,2015,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS368093203","species","Blue-throated Barbet","Psilopogon asiaticus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"14:59:00","obsr672706","S27076901","Stationary",80,NA,1,0,NA,0,1,0,"S27076901",11,319,15,2015,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS368093202","species","Chestnut-tailed Starling","Sturnia malabarica","3","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"14:59:00","obsr672706","S27076901","Stationary",80,NA,1,0,NA,0,1,0,"S27076901",11,319,15,2015,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS384737778","species","Chestnut-tailed Starling","Sturnia malabarica","3","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"14:58:00","obsr672706","S28470011","Stationary",82,NA,1,1,NA,0,1,0,"S28470011",11,319,15,2015,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS384737777","species","Eurasian Tree Sparrow","Passer montanus","10","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"14:58:00","obsr672706","S28470011","Stationary",82,NA,1,1,NA,0,1,0,"S28470011",11,319,15,2015,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS368093204","species","Eurasian Tree Sparrow","Passer montanus","10","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"14:59:00","obsr672706","S27076901","Stationary",80,NA,1,0,NA,0,1,0,"S27076901",11,319,15,2015,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS384734877","species","Eurasian Tree Sparrow","Passer montanus","2","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"11:30:00","obsr672706","S28469818","Stationary",35,NA,1,1,NA,0,1,0,"S28469818",11,319,15,2015,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS384737775","species","Cinereous Tit","Parus cinereus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"14:58:00","obsr672706","S28470011","Stationary",82,NA,1,1,NA,0,1,0,"S28470011",11,319,15,2015,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS368093206","species","Cinereous Tit","Parus cinereus","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"14:59:00","obsr672706","S27076901","Stationary",80,NA,1,0,NA,0,1,0,"S27076901",11,319,15,2015,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS384737776","species","Jungle Myna","Acridotheres fuscus","17","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"14:58:00","obsr672706","S28470011","Stationary",82,NA,1,1,NA,0,1,0,"S28470011",11,319,15,2015,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS368093207","species","Jungle Myna","Acridotheres fuscus","5","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"14:59:00","obsr672706","S27076901","Stationary",80,NA,1,0,NA,0,1,0,"S27076901",11,319,15,2015,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS384734878","species","Oriental Magpie-Robin","Copsychus saularis","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"11:30:00","obsr672706","S28469818","Stationary",35,NA,1,1,NA,0,1,0,"S28469818",11,319,15,2015,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS384734879","species","Red-vented Bulbul","Pycnonotus cafer","1","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"11:30:00","obsr672706","S28469818","Stationary",35,NA,1,1,NA,0,1,0,"S28469818",11,319,15,2015,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS367981219","species","Eurasian Tree Sparrow","Passer montanus","8","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"10:05:00","obsr672706","S27064193","Stationary",128,NA,1,0,NA,0,1,0,"S27064193",1,15,15,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS367981221","species","House Crow","Corvus splendens","10","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"10:05:00","obsr672706","S27064193","Stationary",128,NA,1,0,NA,0,1,0,"S27064193",1,15,15,2016,2015
"URN:CornellLabOfOrnithology:EBIRD:OBS367981222","species","House Sparrow","Passer domesticus","10","Assam","Kamrup Metropolitan","Cotton University","L4221645","H",26.1871652,91.747148,"10:05:00","obsr672706","S27064193","Stationary",128,NA,1,0,NA,0,1,0,"S27064193",1,15,15,2016,2015
