"DISTRICT","group.id","CATEGORY","COMMON.NAME","SCIENTIFIC.NAME","EXOTIC.CODE","OBSERVATION.COUNT","LOCALITY","LOCALITY.ID","LOCALITY.TYPE","LATITUDE","LONGITUDE","TIME.OBSERVATIONS.STARTED","OBSERVER.ID","SAMPLING.EVENT.IDENTIFIER","PROTOCOL.TYPE","DURATION.MINUTES","EFFORT.DISTANCE.KM","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","month","day","year"
"Gandaki","G8360552","species","Asian Barred Owlet","Glaucidium cuculoides",NA,"1","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr888118","S109936879","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Asian Barred Owlet","Glaucidium cuculoides",NA,"1","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr1871526","S110017218","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Asian Koel","Eudynamys scolopaceus",NA,"4","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr888118","S109936879","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Asian Koel","Eudynamys scolopaceus",NA,"4","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr1871526","S110017218","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Blue-throated Barbet","Psilopogon asiaticus",NA,"1","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr888118","S109936879","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Blue-throated Barbet","Psilopogon asiaticus",NA,"1","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr1871526","S110017218","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Brahminy Starling","Sturnia pagodarum",NA,"1","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr1871526","S110017218","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Brahminy Starling","Sturnia pagodarum",NA,"1","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr888118","S109936879","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Cattle Egret","Bubulcus ibis",NA,"14","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr1871526","S110017218","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Cattle Egret","Bubulcus ibis",NA,"14","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr888118","S109936879","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Chestnut-tailed Starling","Sturnia malabarica",NA,"4","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr1871526","S110017218","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Chestnut-tailed Starling","Sturnia malabarica",NA,"4","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr888118","S109936879","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Common Myna","Acridotheres tristis",NA,"3","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr1871526","S110017218","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Common Myna","Acridotheres tristis",NA,"3","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr888118","S109936879","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Common Tailorbird","Orthotomus sutorius",NA,"4","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr888118","S109936879","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Common Tailorbird","Orthotomus sutorius",NA,"4","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr1871526","S110017218","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Greater Coucal","Centropus sinensis",NA,"1","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr1871526","S110017218","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Greater Coucal","Centropus sinensis",NA,"1","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr888118","S109936879","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","House Crow","Corvus splendens",NA,"2","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr888118","S109936879","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","House Crow","Corvus splendens",NA,"2","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr1871526","S110017218","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","House Sparrow","Passer domesticus",NA,"5","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr888118","S109936879","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","House Sparrow","Passer domesticus",NA,"5","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr1871526","S110017218","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Indian Cuckoo","Cuculus micropterus",NA,"1","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr888118","S109936879","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Indian Cuckoo","Cuculus micropterus",NA,"1","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr1871526","S110017218","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Jungle Myna","Acridotheres fuscus",NA,"2","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr888118","S109936879","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Jungle Myna","Acridotheres fuscus",NA,"2","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr1871526","S110017218","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Large-billed Crow","Corvus macrorhynchos",NA,"1","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr888118","S109936879","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Large-billed Crow","Corvus macrorhynchos",NA,"1","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr1871526","S110017218","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Large Hawk-Cuckoo","Hierococcyx sparverioides",NA,"1","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr888118","S109936879","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Large Hawk-Cuckoo","Hierococcyx sparverioides",NA,"1","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr1871526","S110017218","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Oriental Magpie-Robin","Copsychus saularis",NA,"2","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr1871526","S110017218","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Oriental Magpie-Robin","Copsychus saularis",NA,"2","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr888118","S109936879","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Rose-ringed Parakeet","Psittacula krameri",NA,"8","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr1871526","S110017218","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Rose-ringed Parakeet","Psittacula krameri",NA,"8","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr888118","S109936879","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Spotted Dove","Streptopelia chinensis",NA,"2","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr1871526","S110017218","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360552","species","Spotted Dove","Streptopelia chinensis",NA,"2","Pokhara Bird Society","L15036292","H",28.2032122,83.9672819,"05:45:00","obsr888118","S109936879","Stationary",11,NA,3,1,5,14,2022
"Gandaki","G8360556","species","Cattle Egret","Bubulcus ibis",NA,"9","Pokhara - Phewa Lakeside","L956849","H",28.2133418,83.9566011,"06:30:00","obsr888118","S109945122","Traveling",20,0.5,1,1,5,14,2022
"Gandaki","G8360556","species","Cattle Egret","Bubulcus ibis",NA,"9","Pokhara - Phewa Lakeside","L956849","H",28.2133418,83.9566011,"06:30:00","obsr1871526","S110017240","Traveling",20,0.5,1,1,5,14,2022
"Gandaki","G8360556","species","Chestnut-tailed Starling","Sturnia malabarica",NA,"2","Pokhara - Phewa Lakeside","L956849","H",28.2133418,83.9566011,"06:30:00","obsr888118","S109945122","Traveling",20,0.5,1,1,5,14,2022
"Gandaki","G8360556","species","Chestnut-tailed Starling","Sturnia malabarica",NA,"2","Pokhara - Phewa Lakeside","L956849","H",28.2133418,83.9566011,"06:30:00","obsr1871526","S110017240","Traveling",20,0.5,1,1,5,14,2022
"Gandaki","G8360556","species","Common Kingfisher","Alcedo atthis",NA,"1","Pokhara - Phewa Lakeside","L956849","H",28.2133418,83.9566011,"06:30:00","obsr888118","S109945122","Traveling",20,0.5,1,1,5,14,2022
"Gandaki","G8360556","species","Common Kingfisher","Alcedo atthis",NA,"1","Pokhara - Phewa Lakeside","L956849","H",28.2133418,83.9566011,"06:30:00","obsr1871526","S110017240","Traveling",20,0.5,1,1,5,14,2022
"Gandaki","G8360556","species","Common Myna","Acridotheres tristis",NA,"10","Pokhara - Phewa Lakeside","L956849","H",28.2133418,83.9566011,"06:30:00","obsr888118","S109945122","Traveling",20,0.5,1,1,5,14,2022
"Gandaki","G8360556","species","Common Myna","Acridotheres tristis",NA,"10","Pokhara - Phewa Lakeside","L956849","H",28.2133418,83.9566011,"06:30:00","obsr1871526","S110017240","Traveling",20,0.5,1,1,5,14,2022
"Gandaki","G8360556","species","Common Tailorbird","Orthotomus sutorius",NA,"2","Pokhara - Phewa Lakeside","L956849","H",28.2133418,83.9566011,"06:30:00","obsr888118","S109945122","Traveling",20,0.5,1,1,5,14,2022
"Gandaki","G8360556","species","Common Tailorbird","Orthotomus sutorius",NA,"2","Pokhara - Phewa Lakeside","L956849","H",28.2133418,83.9566011,"06:30:00","obsr1871526","S110017240","Traveling",20,0.5,1,1,5,14,2022
"Gandaki","G8360556","species","Coppersmith Barbet","Psilopogon haemacephalus",NA,"1","Pokhara - Phewa Lakeside","L956849","H",28.2133418,83.9566011,"06:30:00","obsr888118","S109945122","Traveling",20,0.5,1,1,5,14,2022
"Gandaki","G8360556","species","Coppersmith Barbet","Psilopogon haemacephalus",NA,"1","Pokhara - Phewa Lakeside","L956849","H",28.2133418,83.9566011,"06:30:00","obsr1871526","S110017240","Traveling",20,0.5,1,1,5,14,2022
"Gandaki","G8360556","species","Crimson Sunbird","Aethopyga siparaja",NA,"2","Pokhara - Phewa Lakeside","L956849","H",28.2133418,83.9566011,"06:30:00","obsr1871526","S110017240","Traveling",20,0.5,1,1,5,14,2022
"Gandaki","G8360556","species","Crimson Sunbird","Aethopyga siparaja",NA,"2","Pokhara - Phewa Lakeside","L956849","H",28.2133418,83.9566011,"06:30:00","obsr888118","S109945122","Traveling",20,0.5,1,1,5,14,2022
"Gandaki","G8360556","species","Eurasian Tree Sparrow","Passer montanus",NA,"8","Pokhara - Phewa Lakeside","L956849","H",28.2133418,83.9566011,"06:30:00","obsr1871526","S110017240","Traveling",20,0.5,1,1,5,14,2022
"Gandaki","G8360556","species","Eurasian Tree Sparrow","Passer montanus",NA,"8","Pokhara - Phewa Lakeside","L956849","H",28.2133418,83.9566011,"06:30:00","obsr888118","S109945122","Traveling",20,0.5,1,1,5,14,2022
"Gandaki","G8360556","species","House Crow","Corvus splendens",NA,"15","Pokhara - Phewa Lakeside","L956849","H",28.2133418,83.9566011,"06:30:00","obsr888118","S109945122","Traveling",20,0.5,1,1,5,14,2022
"Gandaki","G8360556","species","House Crow","Corvus splendens",NA,"15","Pokhara - Phewa Lakeside","L956849","H",28.2133418,83.9566011,"06:30:00","obsr1871526","S110017240","Traveling",20,0.5,1,1,5,14,2022
"Gandaki","G8360556","species","Indian White-eye","Zosterops palpebrosus",NA,"4","Pokhara - Phewa Lakeside","L956849","H",28.2133418,83.9566011,"06:30:00","obsr888118","S109945122","Traveling",20,0.5,1,1,5,14,2022
"Gandaki","G8360556","species","Indian White-eye","Zosterops palpebrosus",NA,"4","Pokhara - Phewa Lakeside","L956849","H",28.2133418,83.9566011,"06:30:00","obsr1871526","S110017240","Traveling",20,0.5,1,1,5,14,2022
"Gandaki","G8360556","species","Indian Pond-Heron","Ardeola grayii",NA,"2","Pokhara - Phewa Lakeside","L956849","H",28.2133418,83.9566011,"06:30:00","obsr888118","S109945122","Traveling",20,0.5,1,1,5,14,2022
"Gandaki","G8360556","species","Indian Pond-Heron","Ardeola grayii",NA,"2","Pokhara - Phewa Lakeside","L956849","H",28.2133418,83.9566011,"06:30:00","obsr1871526","S110017240","Traveling",20,0.5,1,1,5,14,2022
"Gandaki","G8360556","species","Intermediate Egret","Ardea intermedia",NA,"2","Pokhara - Phewa Lakeside","L956849","H",28.2133418,83.9566011,"06:30:00","obsr888118","S109945122","Traveling",20,0.5,1,1,5,14,2022
