"","group.id","COMMON.NAME","OBSERVATION.COUNT","LATITUDE","LONGITUDE","OBSERVATION.DATE","TIME.OBSERVATIONS.STARTED","PROTOCOL.TYPE","DURATION.MINUTES","ALL.SPECIES.REPORTED","EFFORT.DISTANCE.KM","NUMBER.OBSERVERS"
"1","S52094794","Accipiter sp.","1",9.5507443,77.1384202,"01-26-2019","09:44 AM","eBird - Traveling Count",15,1,0.42,3
"2","S52094110","Acrocephalus sp.","1",9.45562,77.0661504,"01-25-2019","08:36 AM","eBird - Traveling Count",15,1,0.097,2
"3","S49634363","Alpine Swift","1",9.4933,77.2353,"05-12-2018","08:00 AM","eBird - Traveling Count",15,1,0.201,3
"4","S52094540","Apus sp.","50",9.5765956,77.3371122,"01-26-2019","04:45 PM","eBird - Traveling Count",15,1,0.25,2
"5","S52094110","Ashy Drongo","1",9.45562,77.0661504,"01-25-2019","08:36 AM","eBird - Traveling Count",15,1,0.097,2
"6","S52126892","Ashy Prinia","1",9.5070822,77.2803363,"01-26-2019","09:45 AM","eBird - Traveling Count",15,1,0.5,2
"7","S52155186","Ashy Woodswallow","2",9.524124,77.257719,"01-27-2019","02:03 PM","eBird - Traveling Count",15,1,2.653,7
"8","S52127090","Asian Brown Flycatcher","1",9.535023,77.275834,"01-26-2019","09:25 AM","eBird - Traveling Count",15,1,0.493,2
"9","S52161360","Asian Emerald Dove","1",9.532737,77.267224,"01-25-2019","11:51 AM","eBird - Traveling Count",15,1,0.5,2
"10","S52172858","Asian Fairy-bluebird","2",9.532593,77.266705,"01-26-2019","12:05 PM","eBird - Traveling Count",15,1,0.243,3
"11","S52126203","Asian Koel","2",9.5327348,77.1481419,"01-24-2019","03:24 PM","eBird - Traveling Count",15,1,0.4,3
"12","S52135360","Asian Openbill","1",9.4795892,77.0067122,"01-25-2019","01:36 PM","eBird - Traveling Count",15,1,0.74,2
"13","S49633959","Asian Palm-Swift","3",9.5331545,77.2316956,"05-13-2018","08:03 AM","eBird - Traveling Count",15,1,0.201,6
"14","S52094617","Australian Black-shouldered Kite","1",9.4354303,77.1656513,"01-26-2019","07:00 AM","eBird - Traveling Count",15,1,0.15,2
"15","S52094224","Banded Bay Cuckoo","1",9.5422734,77.1890889,"01-25-2019","04:45 PM","eBird - Traveling Count",15,1,0.08,2
"16","S52127160","Bar-winged Flycatcher-shrike","2",9.5886615,77.2956591,"01-25-2019","08:01 AM","eBird - Traveling Count",15,1,0.3,2
"17","S52155157","Barn Swallow","5",9.526637,77.210294,"01-27-2019","02:34 PM","eBird - Traveling Count",15,1,2.666,7
"18","S52131806","bee-eater sp.","1",9.4234574,77.0424331,"01-26-2019","08:43 AM","eBird - Traveling Count",15,1,0.28,3
"19","S52094701","Besra","2",9.4717458,77.0625707,"01-26-2019","08:43 AM","eBird - Traveling Count",17,1,0.113,2
"20","S52127263","bird sp.","1",9.406439,77.263723,"01-26-2019","10:16 AM","eBird - Traveling Count",15,1,0.15,2
"21","S52278467","Black-and-orange Flycatcher","2",9.3150276,77.2847851,"01-27-2019","04:51 PM","eBird - Stationary Count",30,1,NA,4
"22","S52222950","Black-capped Kingfisher","1",9.323033,77.2752529,"01-26-2019","12:45 PM","eBird - Traveling Count",6,1,0.161,4
"23","S52126074","Black-crowned Night-Heron","1",9.5327348,77.1481419,"01-26-2019","10:01 PM","eBird - Traveling Count",15,1,0.31,2
"24","S49619590","Black-headed Cuckooshrike","1",9.5999228,77.1911617,"05-14-2018","09:00 AM","eBird - Traveling Count",15,1,0.201,5
"25","S52127073","Black-hooded Oriole","1",9.534802,77.272968,"01-26-2019","08:55 AM","eBird - Traveling Count",15,1,0.494,3
"26","S52127190","Black-naped Monarch","1",9.416264,77.275274,"01-27-2019","08:50 AM","eBird - Traveling Count",15,1,0.2,2
"27","S52127075","Black-naped Oriole","1",9.5690888,77.2674092,"01-26-2019","09:22 AM","eBird - Traveling Count",15,1,0.44,2
"28","S52171581","Black-rumped Flameback (Lesser Goldenbacked Woodpecker)","1",9.528503,77.260959,"01-25-2019","04:34 PM","eBird - Traveling Count",15,1,0.379,3
"29","S52123666","Black-throated Munia","2",9.4933,77.2353,"01-24-2019","05:45 PM","eBird - Traveling Count",15,1,0.241,3
"30","S52094417","Black-winged Kite (Black-shouldered Kite)","1",9.4628758,77.0537827,"01-25-2019","04:01 PM","eBird - Traveling Count",16,1,0.338,2
"31","S49633842","Black-winged Stilt","1",9.427,77.183,"05-13-2018","07:30 AM","eBird - Traveling Count",15,1,0.201,4
"32","S52160539","Black Baza","1",9.5666667,77.1833333,"01-27-2019","09:00 AM","eBird - Traveling Count",15,1,0.3,4
"33","S52094767","Black Drongo","1",9.5241371,77.0948618,"01-25-2019","09:05 AM","eBird - Traveling Count",15,1,0.145,2
"34","S52094417","Black Eagle","2",9.4628758,77.0537827,"01-25-2019","04:01 PM","eBird - Traveling Count",16,1,0.338,2
"35","S52094879","Black Kite","1",9.5909974,77.299792,"01-24-2019","04:33 PM","eBird - Stationary Count",95,1,NA,1
"36","S52094276","Black Stork","1",9.5331545,77.2316956,"01-26-2019","10:15 AM","eBird - Traveling Count",30,1,0.097,4
"37","S52161379","Black/Ashy Drongo","2",9.532947,77.261017,"01-25-2019","02:41 PM","eBird - Stationary Count",15,1,NA,2
