DISTRICT,COMMON.NAME,freq
Ariyalur,White-throated Kingfisher,0.735294118
Ariyalur,Common Myna,0.705882353
Ariyalur,Black Drongo,0.676470588
Ariyalur,Cattle Egret,0.558823529
Ariyalur,Indian Pond-Heron,0.558823529
Chamrajnagar,Black Kite,1
Chamrajnagar,Indian Pond-Heron,1
Chamrajnagar,White-browed Wagtail,1
Chennai,House Crow,0.864864865
Chennai,Rock Pigeon,0.810810811
Chennai,Rose-ringed Parakeet,0.756756757
Chennai,Large-billed Crow,0.621621622
Chennai,Common Myna,0.540540541
Coimbatore,Common Myna,0.556451613
Coimbatore,House Crow,0.524193548
Coimbatore,Indian Peafowl,0.508064516
Coimbatore,Indian Pond-Heron,0.5
Coimbatore,Cattle Egret,0.483870968
Cuddalore,House Crow,0.580645161
Cuddalore,Black Drongo,0.548387097
Cuddalore,Common Myna,0.548387097
Cuddalore,White-throated Kingfisher,0.516129032
Cuddalore,Indian Pond-Heron,0.451612903
Dharmapuri,House Crow,0.818181818
Dharmapuri,Common Myna,0.636363636
Dharmapuri,Black Kite,0.363636364
Dharmapuri,Rock Pigeon,0.363636364
Dharmapuri,Cattle Egret,0.272727273
Dindigul,Indian Roller,0.473684211
Dindigul,Black Drongo,0.394736842
Dindigul,Red-vented Bulbul,0.394736842
Dindigul,Cattle Egret,0.368421053
Dindigul,House Crow,0.368421053
Erode,Black Drongo,0.7
Erode,Common Myna,0.6
Erode,Asian Koel,0.5
Erode,Green Bee-eater,0.5
Erode,Little Cormorant,0.5
Kancheepuram,House Crow,0.754385965
Kancheepuram,Common Myna,0.614035088
Kancheepuram,Rock Pigeon,0.578947368
Kancheepuram,Cattle Egret,0.50877193
Kancheepuram,Black Drongo,0.49122807
Kanniyakumari,House Crow,0.5
Kanniyakumari,Brown Shrike,0.333333333
Kanniyakumari,eagle sp.,0.333333333
Kanniyakumari,Indian Pond-Heron,0.333333333
Kanniyakumari,Western Reef-Heron,0.333333333
Karaikal,Black Drongo,0.8
Karaikal,Indian Roller,0.6
Karaikal,Intermediate Egret,0.6
Karaikal,Asian Openbill,0.4
Karaikal,Brahminy Kite,0.4
Karur,Common Myna,0.714285714
Karur,Blyth's Reed Warbler,0.571428571
Karur,Indian Pond-Heron,0.571428571
Karur,House Crow,0.428571429
Karur,Cattle Egret,0.285714286
Krishnagiri,Indian Pond-Heron,0.666666667
Krishnagiri,Black-winged Stilt,0.333333333
